date,topic,count
2013/1/1,2019 covid19 pandemic,0
2014/1/1,2019 covid19 pandemic,0
2015/1/1,2019 covid19 pandemic,0
2016/1/1,2019 covid19 pandemic,0
2017/1/1,2019 covid19 pandemic,0
2018/1/1,2019 covid19 pandemic,0
2019/1/1,2019 covid19 pandemic,0
2020/1/1,2019 covid19 pandemic,0
2021/1/1,2019 covid19 pandemic,23
2022/1/1,2019 covid19 pandemic,13
2013/1/1,2019 novel coronavirus,0
2014/1/1,2019 novel coronavirus,0
2015/1/1,2019 novel coronavirus,0
2016/1/1,2019 novel coronavirus,0
2017/1/1,2019 novel coronavirus,0
2018/1/1,2019 novel coronavirus,0
2019/1/1,2019 novel coronavirus,0
2020/1/1,2019 novel coronavirus,30
2021/1/1,2019 novel coronavirus,0
2022/1/1,2019 novel coronavirus,0
2013/1/1,acellular pertussis vaccine,0
2014/1/1,acellular pertussis vaccine,0
2015/1/1,acellular pertussis vaccine,0
2016/1/1,acellular pertussis vaccine,6
2017/1/1,acellular pertussis vaccine,0
2018/1/1,acellular pertussis vaccine,0
2019/1/1,acellular pertussis vaccine,0
2020/1/1,acellular pertussis vaccine,0
2021/1/1,acellular pertussis vaccine,0
2022/1/1,acellular pertussis vaccine,0
2013/1/1,acute respiratory illness,0
2014/1/1,acute respiratory illness,0
2015/1/1,acute respiratory illness,0
2016/1/1,acute respiratory illness,0
2017/1/1,acute respiratory illness,0
2018/1/1,acute respiratory illness,9
2019/1/1,acute respiratory illness,0
2020/1/1,acute respiratory illness,21
2021/1/1,acute respiratory illness,0
2022/1/1,acute respiratory illness,0
2013/1/1,acute respiratory syndrome,0
2014/1/1,acute respiratory syndrome,0
2015/1/1,acute respiratory syndrome,0
2016/1/1,acute respiratory syndrome,0
2017/1/1,acute respiratory syndrome,0
2018/1/1,acute respiratory syndrome,0
2019/1/1,acute respiratory syndrome,0
2020/1/1,acute respiratory syndrome,81
2021/1/1,acute respiratory syndrome,83
2022/1/1,acute respiratory syndrome,47
2013/1/1,adjusted odds ratio,0
2014/1/1,adjusted odds ratio,0
2015/1/1,adjusted odds ratio,0
2016/1/1,adjusted odds ratio,0
2017/1/1,adjusted odds ratio,6
2018/1/1,adjusted odds ratio,12
2019/1/1,adjusted odds ratio,10
2020/1/1,adjusted odds ratio,0
2021/1/1,adjusted odds ratio,0
2022/1/1,adjusted odds ratio,16
2013/1/1,antiretroviral therapy art,4
2014/1/1,antiretroviral therapy art,0
2015/1/1,antiretroviral therapy art,0
2016/1/1,antiretroviral therapy art,7
2017/1/1,antiretroviral therapy art,6
2018/1/1,antiretroviral therapy art,0
2019/1/1,antiretroviral therapy art,0
2020/1/1,antiretroviral therapy art,0
2021/1/1,antiretroviral therapy art,0
2022/1/1,antiretroviral therapy art,0
2013/1/1,basic reproductive number,0
2014/1/1,basic reproductive number,8
2015/1/1,basic reproductive number,8
2016/1/1,basic reproductive number,8
2017/1/1,basic reproductive number,0
2018/1/1,basic reproductive number,0
2019/1/1,basic reproductive number,0
2020/1/1,basic reproductive number,0
2021/1/1,basic reproductive number,0
2022/1/1,basic reproductive number,0
2013/1/1,chikungunya virus chikv,0
2014/1/1,chikungunya virus chikv,0
2015/1/1,chikungunya virus chikv,0
2016/1/1,chikungunya virus chikv,8
2017/1/1,chikungunya virus chikv,0
2018/1/1,chikungunya virus chikv,8
2019/1/1,chikungunya virus chikv,0
2020/1/1,chikungunya virus chikv,0
2021/1/1,chikungunya virus chikv,0
2022/1/1,chikungunya virus chikv,0
2013/1/1,clinical attack rates,0
2014/1/1,clinical attack rates,0
2015/1/1,clinical attack rates,5
2016/1/1,clinical attack rates,0
2017/1/1,clinical attack rates,0
2018/1/1,clinical attack rates,0
2019/1/1,clinical attack rates,0
2020/1/1,clinical attack rates,0
2021/1/1,clinical attack rates,0
2022/1/1,clinical attack rates,0
2013/1/1,coronavirus disease 2019,0
2014/1/1,coronavirus disease 2019,0
2015/1/1,coronavirus disease 2019,0
2016/1/1,coronavirus disease 2019,0
2017/1/1,coronavirus disease 2019,0
2018/1/1,coronavirus disease 2019,0
2019/1/1,coronavirus disease 2019,0
2020/1/1,coronavirus disease 2019,78
2021/1/1,coronavirus disease 2019,78
2022/1/1,coronavirus disease 2019,46
2013/1/1,coronavirus disease covid19,0
2014/1/1,coronavirus disease covid19,0
2015/1/1,coronavirus disease covid19,0
2016/1/1,coronavirus disease covid19,0
2017/1/1,coronavirus disease covid19,0
2018/1/1,coronavirus disease covid19,0
2019/1/1,coronavirus disease covid19,0
2020/1/1,coronavirus disease covid19,25
2021/1/1,coronavirus disease covid19,0
2022/1/1,coronavirus disease covid19,0
2013/1/1,correct article doi,0
2014/1/1,correct article doi,0
2015/1/1,correct article doi,0
2016/1/1,correct article doi,0
2017/1/1,correct article doi,6
2018/1/1,correct article doi,0
2019/1/1,correct article doi,0
2020/1/1,correct article doi,0
2021/1/1,correct article doi,0
2022/1/1,correct article doi,0
2013/1/1,cox proportion hazard,0
2014/1/1,cox proportion hazard,0
2015/1/1,cox proportion hazard,0
2016/1/1,cox proportion hazard,0
2017/1/1,cox proportion hazard,0
2018/1/1,cox proportion hazard,0
2019/1/1,cox proportion hazard,0
2020/1/1,cox proportion hazard,0
2021/1/1,cox proportion hazard,17
2022/1/1,cox proportion hazard,15
2013/1/1,dengue virus denv,5
2014/1/1,dengue virus denv,7
2015/1/1,dengue virus denv,0
2016/1/1,dengue virus denv,0
2017/1/1,dengue virus denv,0
2018/1/1,dengue virus denv,0
2019/1/1,dengue virus denv,17
2020/1/1,dengue virus denv,0
2021/1/1,dengue virus denv,0
2022/1/1,dengue virus denv,0
2013/1/1,different age groups,0
2014/1/1,different age groups,0
2015/1/1,different age groups,0
2016/1/1,different age groups,0
2017/1/1,different age groups,0
2018/1/1,different age groups,0
2019/1/1,different age groups,9
2020/1/1,different age groups,0
2021/1/1,different age groups,0
2022/1/1,different age groups,0
2013/1/1,differential equations model,4
2014/1/1,differential equations model,0
2015/1/1,differential equations model,0
2016/1/1,differential equations model,0
2017/1/1,differential equations model,0
2018/1/1,differential equations model,0
2019/1/1,differential equations model,0
2020/1/1,differential equations model,0
2021/1/1,differential equations model,0
2022/1/1,differential equations model,0
2013/1/1,disease 2019 covid19,0
2014/1/1,disease 2019 covid19,0
2015/1/1,disease 2019 covid19,0
2016/1/1,disease 2019 covid19,0
2017/1/1,disease 2019 covid19,0
2018/1/1,disease 2019 covid19,0
2019/1/1,disease 2019 covid19,0
2020/1/1,disease 2019 covid19,72
2021/1/1,disease 2019 covid19,71
2022/1/1,disease 2019 covid19,42
2013/1/1,east respiratory syndrome,0
2014/1/1,east respiratory syndrome,6
2015/1/1,east respiratory syndrome,0
2016/1/1,east respiratory syndrome,7
2017/1/1,east respiratory syndrome,0
2018/1/1,east respiratory syndrome,0
2019/1/1,east respiratory syndrome,0
2020/1/1,east respiratory syndrome,0
2021/1/1,east respiratory syndrome,0
2022/1/1,east respiratory syndrome,0
2013/1/1,ebola virus disease,0
2014/1/1,ebola virus disease,0
2015/1/1,ebola virus disease,15
2016/1/1,ebola virus disease,9
2017/1/1,ebola virus disease,0
2018/1/1,ebola virus disease,0
2019/1/1,ebola virus disease,0
2020/1/1,ebola virus disease,0
2021/1/1,ebola virus disease,0
2022/1/1,ebola virus disease,0
2013/1/1,emergence infectious disease,7
2014/1/1,emergence infectious disease,0
2015/1/1,emergence infectious disease,6
2016/1/1,emergence infectious disease,0
2017/1/1,emergence infectious disease,7
2018/1/1,emergence infectious disease,0
2019/1/1,emergence infectious disease,0
2020/1/1,emergence infectious disease,0
2021/1/1,emergence infectious disease,0
2022/1/1,emergence infectious disease,0
2013/1/1,epidemic west africa,0
2014/1/1,epidemic west africa,0
2015/1/1,epidemic west africa,6
2016/1/1,epidemic west africa,0
2017/1/1,epidemic west africa,0
2018/1/1,epidemic west africa,0
2019/1/1,epidemic west africa,0
2020/1/1,epidemic west africa,0
2021/1/1,epidemic west africa,0
2022/1/1,epidemic west africa,0
2013/1/1,general linear model,4
2014/1/1,general linear model,0
2015/1/1,general linear model,0
2016/1/1,general linear model,0
2017/1/1,general linear model,0
2018/1/1,general linear model,0
2019/1/1,general linear model,0
2020/1/1,general linear model,0
2021/1/1,general linear model,0
2022/1/1,general linear model,0
2013/1/1,global burden disease,0
2014/1/1,global burden disease,0
2015/1/1,global burden disease,0
2016/1/1,global burden disease,6
2017/1/1,global burden disease,0
2018/1/1,global burden disease,0
2019/1/1,global burden disease,0
2020/1/1,global burden disease,0
2021/1/1,global burden disease,0
2022/1/1,global burden disease,0
2013/1/1,global climate changes,4
2014/1/1,global climate changes,0
2015/1/1,global climate changes,0
2016/1/1,global climate changes,0
2017/1/1,global climate changes,0
2018/1/1,global climate changes,0
2019/1/1,global climate changes,0
2020/1/1,global climate changes,0
2021/1/1,global climate changes,0
2022/1/1,global climate changes,0
2013/1/1,guinea liberia sierra,0
2014/1/1,guinea liberia sierra,0
2015/1/1,guinea liberia sierra,6
2016/1/1,guinea liberia sierra,0
2017/1/1,guinea liberia sierra,0
2018/1/1,guinea liberia sierra,0
2019/1/1,guinea liberia sierra,0
2020/1/1,guinea liberia sierra,0
2021/1/1,guinea liberia sierra,0
2022/1/1,guinea liberia sierra,0
2013/1/1,health care workers,4
2014/1/1,health care workers,0
2015/1/1,health care workers,0
2016/1/1,health care workers,0
2017/1/1,health care workers,0
2018/1/1,health care workers,0
2019/1/1,health care workers,0
2020/1/1,health care workers,0
2021/1/1,health care workers,0
2022/1/1,health care workers,0
2013/1/1,hepatitis virus hcv,0
2014/1/1,hepatitis virus hcv,0
2015/1/1,hepatitis virus hcv,10
2016/1/1,hepatitis virus hcv,0
2017/1/1,hepatitis virus hcv,0
2018/1/1,hepatitis virus hcv,10
2019/1/1,hepatitis virus hcv,9
2020/1/1,hepatitis virus hcv,0
2021/1/1,hepatitis virus hcv,0
2022/1/1,hepatitis virus hcv,0
2013/1/1,high vaccine coverage,4
2014/1/1,high vaccine coverage,0
2015/1/1,high vaccine coverage,0
2016/1/1,high vaccine coverage,0
2017/1/1,high vaccine coverage,0
2018/1/1,high vaccine coverage,0
2019/1/1,high vaccine coverage,0
2020/1/1,high vaccine coverage,0
2021/1/1,high vaccine coverage,0
2022/1/1,high vaccine coverage,0
2013/1/1,human immunodeficiency virus,5
2014/1/1,human immunodeficiency virus,6
2015/1/1,human immunodeficiency virus,0
2016/1/1,human immunodeficiency virus,0
2017/1/1,human immunodeficiency virus,9
2018/1/1,human immunodeficiency virus,16
2019/1/1,human immunodeficiency virus,13
2020/1/1,human immunodeficiency virus,0
2021/1/1,human immunodeficiency virus,0
2022/1/1,human immunodeficiency virus,0
2013/1/1,human papillomavirus hpv,0
2014/1/1,human papillomavirus hpv,0
2015/1/1,human papillomavirus hpv,0
2016/1/1,human papillomavirus hpv,0
2017/1/1,human papillomavirus hpv,0
2018/1/1,human papillomavirus hpv,9
2019/1/1,human papillomavirus hpv,0
2020/1/1,human papillomavirus hpv,0
2021/1/1,human papillomavirus hpv,0
2022/1/1,human papillomavirus hpv,0
2013/1/1,immunodeficiency virus hiv,4
2014/1/1,immunodeficiency virus hiv,5
2015/1/1,immunodeficiency virus hiv,0
2016/1/1,immunodeficiency virus hiv,0
2017/1/1,immunodeficiency virus hiv,0
2018/1/1,immunodeficiency virus hiv,12
2019/1/1,immunodeficiency virus hiv,11
2020/1/1,immunodeficiency virus hiv,0
2021/1/1,immunodeficiency virus hiv,0
2022/1/1,immunodeficiency virus hiv,0
2013/1/1,incidence rates ratio,0
2014/1/1,incidence rates ratio,0
2015/1/1,incidence rates ratio,0
2016/1/1,incidence rates ratio,0
2017/1/1,incidence rates ratio,0
2018/1/1,incidence rates ratio,0
2019/1/1,incidence rates ratio,10
2020/1/1,incidence rates ratio,0
2021/1/1,incidence rates ratio,17
2022/1/1,incidence rates ratio,0
2013/1/1,incremental costeffectiveness ratio,0
2014/1/1,incremental costeffectiveness ratio,0
2015/1/1,incremental costeffectiveness ratio,0
2016/1/1,incremental costeffectiveness ratio,8
2017/1/1,incremental costeffectiveness ratio,0
2018/1/1,incremental costeffectiveness ratio,11
2019/1/1,incremental costeffectiveness ratio,0
2020/1/1,incremental costeffectiveness ratio,0
2021/1/1,incremental costeffectiveness ratio,19
2022/1/1,incremental costeffectiveness ratio,0
2013/1/1,infectious disease dynamics,0
2014/1/1,infectious disease dynamics,0
2015/1/1,infectious disease dynamics,0
2016/1/1,infectious disease dynamics,0
2017/1/1,infectious disease dynamics,9
2018/1/1,infectious disease dynamics,0
2019/1/1,infectious disease dynamics,0
2020/1/1,infectious disease dynamics,0
2021/1/1,infectious disease dynamics,0
2022/1/1,infectious disease dynamics,0
2013/1/1,infectious disease model,0
2014/1/1,infectious disease model,5
2015/1/1,infectious disease model,0
2016/1/1,infectious disease model,0
2017/1/1,infectious disease model,0
2018/1/1,infectious disease model,0
2019/1/1,infectious disease model,0
2020/1/1,infectious disease model,0
2021/1/1,infectious disease model,0
2022/1/1,infectious disease model,0
2013/1/1,infectious disease outbreak,0
2014/1/1,infectious disease outbreak,0
2015/1/1,infectious disease outbreak,0
2016/1/1,infectious disease outbreak,0
2017/1/1,infectious disease outbreak,7
2018/1/1,infectious disease outbreak,0
2019/1/1,infectious disease outbreak,16
2020/1/1,infectious disease outbreak,0
2021/1/1,infectious disease outbreak,0
2022/1/1,infectious disease outbreak,0
2013/1/1,infectious disease transmission,0
2014/1/1,infectious disease transmission,0
2015/1/1,infectious disease transmission,0
2016/1/1,infectious disease transmission,0
2017/1/1,infectious disease transmission,0
2018/1/1,infectious disease transmission,8
2019/1/1,infectious disease transmission,0
2020/1/1,infectious disease transmission,0
2021/1/1,infectious disease transmission,0
2022/1/1,infectious disease transmission,0
2013/1/1,influenza vaccine effects,0
2014/1/1,influenza vaccine effects,0
2015/1/1,influenza vaccine effects,0
2016/1/1,influenza vaccine effects,7
2017/1/1,influenza vaccine effects,0
2018/1/1,influenza vaccine effects,15
2019/1/1,influenza vaccine effects,0
2020/1/1,influenza vaccine effects,0
2021/1/1,influenza vaccine effects,0
2022/1/1,influenza vaccine effects,0
2013/1/1,influenza vaccine rates,5
2014/1/1,influenza vaccine rates,0
2015/1/1,influenza vaccine rates,0
2016/1/1,influenza vaccine rates,0
2017/1/1,influenza vaccine rates,0
2018/1/1,influenza vaccine rates,0
2019/1/1,influenza vaccine rates,0
2020/1/1,influenza vaccine rates,0
2021/1/1,influenza vaccine rates,0
2022/1/1,influenza vaccine rates,0
2013/1/1,influenza virus infection,7
2014/1/1,influenza virus infection,9
2015/1/1,influenza virus infection,0
2016/1/1,influenza virus infection,14
2017/1/1,influenza virus infection,0
2018/1/1,influenza virus infection,10
2019/1/1,influenza virus infection,11
2020/1/1,influenza virus infection,0
2021/1/1,influenza virus infection,0
2022/1/1,influenza virus infection,0
2013/1/1,influenzalike illness ili,0
2014/1/1,influenzalike illness ili,8
2015/1/1,influenzalike illness ili,7
2016/1/1,influenzalike illness ili,0
2017/1/1,influenzalike illness ili,0
2018/1/1,influenzalike illness ili,8
2019/1/1,influenzalike illness ili,9
2020/1/1,influenzalike illness ili,0
2021/1/1,influenzalike illness ili,0
2022/1/1,influenzalike illness ili,0
2013/1/1,information public health,0
2014/1/1,information public health,5
2015/1/1,information public health,0
2016/1/1,information public health,0
2017/1/1,information public health,0
2018/1/1,information public health,0
2019/1/1,information public health,0
2020/1/1,information public health,0
2021/1/1,information public health,0
2022/1/1,information public health,0
2013/1/1,intensive care unit,0
2014/1/1,intensive care unit,0
2015/1/1,intensive care unit,5
2016/1/1,intensive care unit,0
2017/1/1,intensive care unit,6
2018/1/1,intensive care unit,0
2019/1/1,intensive care unit,0
2020/1/1,intensive care unit,25
2021/1/1,intensive care unit,25
2022/1/1,intensive care unit,13
2013/1/1,interquartile range iqr,0
2014/1/1,interquartile range iqr,5
2015/1/1,interquartile range iqr,0
2016/1/1,interquartile range iqr,0
2017/1/1,interquartile range iqr,0
2018/1/1,interquartile range iqr,0
2019/1/1,interquartile range iqr,0
2020/1/1,interquartile range iqr,0
2021/1/1,interquartile range iqr,0
2022/1/1,interquartile range iqr,0
2013/1/1,life years qaly,0
2014/1/1,life years qaly,0
2015/1/1,life years qaly,0
2016/1/1,life years qaly,0
2017/1/1,life years qaly,7
2018/1/1,life years qaly,0
2019/1/1,life years qaly,0
2020/1/1,life years qaly,0
2021/1/1,life years qaly,0
2022/1/1,life years qaly,0
2013/1/1,linear regression model,4
2014/1/1,linear regression model,0
2015/1/1,linear regression model,0
2016/1/1,linear regression model,0
2017/1/1,linear regression model,0
2018/1/1,linear regression model,0
2019/1/1,linear regression model,0
2020/1/1,linear regression model,0
2021/1/1,linear regression model,0
2022/1/1,linear regression model,0
2013/1/1,logistic regression model,0
2014/1/1,logistic regression model,7
2015/1/1,logistic regression model,5
2016/1/1,logistic regression model,7
2017/1/1,logistic regression model,7
2018/1/1,logistic regression model,10
