date,topic,count
2013/1/1,adaptation,0
2014/1/1,adaptation,0
2015/1/1,adaptation,8
2016/1/1,adaptation,7
2017/1/1,adaptation,0
2018/1/1,adaptation,0
2019/1/1,adaptation,0
2020/1/1,adaptation,0
2021/1/1,adaptation,0
2022/1/1,adaptation,0
2013/1/1,antibiotic,0
2014/1/1,antibiotic,0
2015/1/1,antibiotic,9
2016/1/1,antibiotic,8
2017/1/1,antibiotic,0
2018/1/1,antibiotic,13
2019/1/1,antibiotic,17
2020/1/1,antibiotic,0
2021/1/1,antibiotic,0
2022/1/1,antibiotic,0
2013/1/1,antibody,0
2014/1/1,antibody,8
2015/1/1,antibody,0
2016/1/1,antibody,14
2017/1/1,antibody,12
2018/1/1,antibody,0
2019/1/1,antibody,0
2020/1/1,antibody,0
2021/1/1,antibody,0
2022/1/1,antibody,21
2013/1/1,avian,3
2014/1/1,avian,0
2015/1/1,avian,0
2016/1/1,avian,0
2017/1/1,avian,0
2018/1/1,avian,0
2019/1/1,avian,0
2020/1/1,avian,0
2021/1/1,avian,0
2022/1/1,avian,0
2013/1/1,bayesian,0
2014/1/1,bayesian,0
2015/1/1,bayesian,0
2016/1/1,bayesian,0
2017/1/1,bayesian,10
2018/1/1,bayesian,0
2019/1/1,bayesian,18
2020/1/1,bayesian,0
2021/1/1,bayesian,0
2022/1/1,bayesian,21
2013/1/1,cancer,0
2014/1/1,cancer,0
2015/1/1,cancer,0
2016/1/1,cancer,0
2017/1/1,cancer,10
2018/1/1,cancer,13
2019/1/1,cancer,0
2020/1/1,cancer,20
2021/1/1,cancer,0
2022/1/1,cancer,28
2013/1/1,cells,0
2014/1/1,cells,6
2015/1/1,cells,0
2016/1/1,cells,13
2017/1/1,cells,0
2018/1/1,cells,0
2019/1/1,cells,0
2020/1/1,cells,0
2021/1/1,cells,0
2022/1/1,cells,0
2013/1/1,chain,4
2014/1/1,chain,0
2015/1/1,chain,10
2016/1/1,chain,0
2017/1/1,chain,0
2018/1/1,chain,0
2019/1/1,chain,0
2020/1/1,chain,0
2021/1/1,chain,0
2022/1/1,chain,0
2013/1/1,climate,0
2014/1/1,climate,0
2015/1/1,climate,0
2016/1/1,climate,8
2017/1/1,climate,0
2018/1/1,climate,0
2019/1/1,climate,0
2020/1/1,climate,20
2021/1/1,climate,0
2022/1/1,climate,0
2013/1/1,coinfection,3
2014/1/1,coinfection,0
2015/1/1,coinfection,0
2016/1/1,coinfection,0
2017/1/1,coinfection,0
2018/1/1,coinfection,0
2019/1/1,coinfection,0
2020/1/1,coinfection,0
2021/1/1,coinfection,0
2022/1/1,coinfection,0
2013/1/1,conservation,3
2014/1/1,conservation,0
2015/1/1,conservation,0
2016/1/1,conservation,0
2017/1/1,conservation,0
2018/1/1,conservation,0
2019/1/1,conservation,0
2020/1/1,conservation,0
2021/1/1,conservation,0
2022/1/1,conservation,0
2013/1/1,coronavirus,0
2014/1/1,coronavirus,0
2015/1/1,coronavirus,0
2016/1/1,coronavirus,0
2017/1/1,coronavirus,0
2018/1/1,coronavirus,0
2019/1/1,coronavirus,0
2020/1/1,coronavirus,65
2021/1/1,coronavirus,36
2022/1/1,coronavirus,20
2013/1/1,covid19,0
2014/1/1,covid19,0
2015/1/1,covid19,0
2016/1/1,covid19,0
2017/1/1,covid19,0
2018/1/1,covid19,0
2019/1/1,covid19,0
2020/1/1,covid19,177
2021/1/1,covid19,332
2022/1/1,covid19,303
2013/1/1,culling,4
2014/1/1,culling,0
2015/1/1,culling,0
2016/1/1,culling,0
2017/1/1,culling,0
2018/1/1,culling,0
2019/1/1,culling,0
2020/1/1,culling,0
2021/1/1,culling,0
2022/1/1,culling,0
2013/1/1,dengue,4
2014/1/1,dengue,12
2015/1/1,dengue,11
2016/1/1,dengue,15
2017/1/1,dengue,0
2018/1/1,dengue,18
2019/1/1,dengue,18
2020/1/1,dengue,25
2021/1/1,dengue,0
2022/1/1,dengue,0
2013/1/1,diarrhea,0
2014/1/1,diarrhea,5
2015/1/1,diarrhea,0
2016/1/1,diarrhea,0
2017/1/1,diarrhea,0
2018/1/1,diarrhea,0
2019/1/1,diarrhea,0
2020/1/1,diarrhea,0
2021/1/1,diarrhea,0
2022/1/1,diarrhea,0
2013/1/1,ebola,0
2014/1/1,ebola,0
2015/1/1,ebola,13
2016/1/1,ebola,10
2017/1/1,ebola,11
2018/1/1,ebola,0
2019/1/1,ebola,0
2020/1/1,ebola,0
2021/1/1,ebola,0
2022/1/1,ebola,0
2013/1/1,ecology,5
2014/1/1,ecology,5
2015/1/1,ecology,10
2016/1/1,ecology,13
2017/1/1,ecology,15
2018/1/1,ecology,17
2019/1/1,ecology,21
2020/1/1,ecology,25
2021/1/1,ecology,24
2022/1/1,ecology,20
2013/1/1,economic,0
2014/1/1,economic,5
2015/1/1,economic,0
2016/1/1,economic,0
2017/1/1,economic,0
2018/1/1,economic,0
2019/1/1,economic,0
2020/1/1,economic,0
2021/1/1,economic,28
2022/1/1,economic,18
2013/1/1,environmental,0
2014/1/1,environmental,6
2015/1/1,environmental,0
2016/1/1,environmental,0
2017/1/1,environmental,0
2018/1/1,environmental,13
2019/1/1,environmental,0
2020/1/1,environmental,0
2021/1/1,environmental,0
2022/1/1,environmental,19
2013/1/1,evolution,4
2014/1/1,evolution,7
2015/1/1,evolution,17
2016/1/1,evolution,17
2017/1/1,evolution,15
2018/1/1,evolution,17
2019/1/1,evolution,15
2020/1/1,evolution,0
2021/1/1,evolution,26
2022/1/1,evolution,0
2013/1/1,evolutionary,0
2014/1/1,evolutionary,0
2015/1/1,evolutionary,0
2016/1/1,evolutionary,0
2017/1/1,evolutionary,10
2018/1/1,evolutionary,0
2019/1/1,evolutionary,0
2020/1/1,evolutionary,0
2021/1/1,evolutionary,0
2022/1/1,evolutionary,0
2013/1/1,extinction,4
2014/1/1,extinction,0
2015/1/1,extinction,0
2016/1/1,extinction,0
2017/1/1,extinction,0
2018/1/1,extinction,0
2019/1/1,extinction,0
2020/1/1,extinction,0
2021/1/1,extinction,0
2022/1/1,extinction,0
2013/1/1,gene,0
2014/1/1,gene,0
2015/1/1,gene,0
2016/1/1,gene,0
2017/1/1,gene,0
2018/1/1,gene,14
2019/1/1,gene,16
2020/1/1,gene,0
2021/1/1,gene,0
2022/1/1,gene,0
2013/1/1,genetic,0
2014/1/1,genetic,6
2015/1/1,genetic,11
2016/1/1,genetic,15
2017/1/1,genetic,11
2018/1/1,genetic,0
2019/1/1,genetic,15
2020/1/1,genetic,0
2021/1/1,genetic,25
2022/1/1,genetic,0
2013/1/1,genomics,0
2014/1/1,genomics,0
2015/1/1,genomics,7
2016/1/1,genomics,7
2017/1/1,genomics,18
2018/1/1,genomics,16
2019/1/1,genomics,0
2020/1/1,genomics,21
2021/1/1,genomics,28
2022/1/1,genomics,29
2013/1/1,hepatitis,0
2014/1/1,hepatitis,0
2015/1/1,hepatitis,0
2016/1/1,hepatitis,0
2017/1/1,hepatitis,0
2018/1/1,hepatitis,0
2019/1/1,hepatitis,16
2020/1/1,hepatitis,0
2021/1/1,hepatitis,0
2022/1/1,hepatitis,0
2013/1/1,hiv,0
2014/1/1,hiv,0
2015/1/1,hiv,12
2016/1/1,hiv,14
2017/1/1,hiv,22
2018/1/1,hiv,26
2019/1/1,hiv,15
2020/1/1,hiv,35
2021/1/1,hiv,43
2022/1/1,hiv,33
2013/1/1,hospital,4
2014/1/1,hospital,6
2015/1/1,hospital,10
2016/1/1,hospital,0
2017/1/1,hospital,0
2018/1/1,hospital,0
2019/1/1,hospital,0
2020/1/1,hospital,23
2021/1/1,hospital,28
2022/1/1,hospital,0
2013/1/1,hostpathogen,0
2014/1/1,hostpathogen,5
2015/1/1,hostpathogen,0
2016/1/1,hostpathogen,0
2017/1/1,hostpathogen,0
2018/1/1,hostpathogen,0
2019/1/1,hostpathogen,0
2020/1/1,hostpathogen,0
2021/1/1,hostpathogen,0
2022/1/1,hostpathogen,0
2013/1/1,immunity,4
2014/1/1,immunity,15
2015/1/1,immunity,15
2016/1/1,immunity,24
2017/1/1,immunity,12
2018/1/1,immunity,18
2019/1/1,immunity,21
2020/1/1,immunity,27
2021/1/1,immunity,49
2022/1/1,immunity,35
2013/1/1,influenza,27
2014/1/1,influenza,38
2015/1/1,influenza,39
2016/1/1,influenza,49
2017/1/1,influenza,48
2018/1/1,influenza,57
2019/1/1,influenza,66
2020/1/1,influenza,85
2021/1/1,influenza,55
2022/1/1,influenza,34
2013/1/1,malaria,0
2014/1/1,malaria,5
2015/1/1,malaria,8
2016/1/1,malaria,9
2017/1/1,malaria,0
2018/1/1,malaria,14
2019/1/1,malaria,22
2020/1/1,malaria,25
2021/1/1,malaria,30
2022/1/1,malaria,0
2013/1/1,markov,3
2014/1/1,markov,0
2015/1/1,markov,0
2016/1/1,markov,0
2017/1/1,markov,0
2018/1/1,markov,14
2019/1/1,markov,0
2020/1/1,markov,0
2021/1/1,markov,0
2022/1/1,markov,0
2013/1/1,men,0
2014/1/1,men,0
2015/1/1,men,0
2016/1/1,men,0
2017/1/1,men,10
2018/1/1,men,0
2019/1/1,men,0
2020/1/1,men,0
2021/1/1,men,0
2022/1/1,men,0
2013/1/1,mobility,0
2014/1/1,mobility,0
2015/1/1,mobility,0
2016/1/1,mobility,0
2017/1/1,mobility,0
2018/1/1,mobility,0
2019/1/1,mobility,0
2020/1/1,mobility,0
2021/1/1,mobility,29
2022/1/1,mobility,0
2013/1/1,nonpharmaceutical,0
2014/1/1,nonpharmaceutical,0
2015/1/1,nonpharmaceutical,0
2016/1/1,nonpharmaceutical,0
2017/1/1,nonpharmaceutical,0
2018/1/1,nonpharmaceutical,0
2019/1/1,nonpharmaceutical,0
2020/1/1,nonpharmaceutical,0
2021/1/1,nonpharmaceutical,26
2022/1/1,nonpharmaceutical,0
2013/1/1,omicron,0
2014/1/1,omicron,0
2015/1/1,omicron,0
2016/1/1,omicron,0
2017/1/1,omicron,0
2018/1/1,omicron,0
2019/1/1,omicron,0
2020/1/1,omicron,0
2021/1/1,omicron,0
2022/1/1,omicron,26
2013/1/1,pathogen,6
2014/1/1,pathogen,5
2015/1/1,pathogen,0
2016/1/1,pathogen,0
2017/1/1,pathogen,0
2018/1/1,pathogen,0
2019/1/1,pathogen,17
2020/1/1,pathogen,0
2021/1/1,pathogen,0
2022/1/1,pathogen,0
2013/1/1,pertussis,0
2014/1/1,pertussis,0
2015/1/1,pertussis,0
2016/1/1,pertussis,9
2017/1/1,pertussis,0
2018/1/1,pertussis,0
2019/1/1,pertussis,0
2020/1/1,pertussis,0
2021/1/1,pertussis,0
2022/1/1,pertussis,0
2013/1/1,pneumococcal,5
2014/1/1,pneumococcal,0
2015/1/1,pneumococcal,0
2016/1/1,pneumococcal,0
2017/1/1,pneumococcal,0
2018/1/1,pneumococcal,0
2019/1/1,pneumococcal,0
2020/1/1,pneumococcal,0
2021/1/1,pneumococcal,0
2022/1/1,pneumococcal,0
2013/1/1,pneumococcus,5
2014/1/1,pneumococcus,0
2015/1/1,pneumococcus,0
2016/1/1,pneumococcus,0
2017/1/1,pneumococcus,0
2018/1/1,pneumococcus,0
2019/1/1,pneumococcus,0
2020/1/1,pneumococcus,0
2021/1/1,pneumococcus,0
2022/1/1,pneumococcus,0
2013/1/1,prevention,0
2014/1/1,prevention,7
2015/1/1,prevention,7
2016/1/1,prevention,0
2017/1/1,prevention,0
2018/1/1,prevention,0
2019/1/1,prevention,0
2020/1/1,prevention,0
2021/1/1,prevention,25
2022/1/1,prevention,19
2013/1/1,regression,4
2014/1/1,regression,0
2015/1/1,regression,0
2016/1/1,regression,0
2017/1/1,regression,0
2018/1/1,regression,0
2019/1/1,regression,0
2020/1/1,regression,0
2021/1/1,regression,0
2022/1/1,regression,0
2013/1/1,resistance,0
2014/1/1,resistance,0
2015/1/1,resistance,14
2016/1/1,resistance,16
2017/1/1,resistance,21
2018/1/1,resistance,22
2019/1/1,resistance,27
2020/1/1,resistance,29
2021/1/1,resistance,36
2022/1/1,resistance,23
2013/1/1,respiratory,0
2014/1/1,respiratory,5
2015/1/1,respiratory,7
2016/1/1,respiratory,0
2017/1/1,respiratory,0
2018/1/1,respiratory,16
2019/1/1,respiratory,17
2020/1/1,respiratory,38
2021/1/1,respiratory,31
2022/1/1,respiratory,28
2013/1/1,sampling,3
2014/1/1,sampling,0
2015/1/1,sampling,0
2016/1/1,sampling,0
2017/1/1,sampling,0
2018/1/1,sampling,0
2019/1/1,sampling,0
2020/1/1,sampling,0
2021/1/1,sampling,0
2022/1/1,sampling,0
2013/1/1,school,3
2014/1/1,school,0
2015/1/1,school,0
2016/1/1,school,0
2017/1/1,school,0
2018/1/1,school,0
2019/1/1,school,0
2020/1/1,school,0
2021/1/1,school,0
2022/1/1,school,0
2013/1/1,sequencing,0
2014/1/1,sequencing,0
2015/1/1,sequencing,8
2016/1/1,sequencing,0
2017/1/1,sequencing,12
2018/1/1,sequencing,0
2019/1/1,sequencing,0
2020/1/1,sequencing,21
2021/1/1,sequencing,0
2022/1/1,sequencing,20
2013/1/1,sex,0
2014/1/1,sex,0
2015/1/1,sex,0
2016/1/1,sex,0
2017/1/1,sex,12
2018/1/1,sex,0
2019/1/1,sex,0
2020/1/1,sex,0
2021/1/1,sex,0
2022/1/1,sex,0
2013/1/1,sexual,0
2014/1/1,sexual,0
2015/1/1,sexual,0
2016/1/1,sexual,0
2017/1/1,sexual,10
2018/1/1,sexual,15
2019/1/1,sexual,0
2020/1/1,sexual,20
2021/1/1,sexual,0
2022/1/1,sexual,0
2013/1/1,social,0
2014/1/1,social,6
2015/1/1,social,10
2016/1/1,social,11
2017/1/1,social,21
2018/1/1,social,17
2019/1/1,social,14
2020/1/1,social,42
2021/1/1,social,51
2022/1/1,social,31
2013/1/1,transmission,6
2014/1/1,transmission,12
2015/1/1,transmission,17
2016/1/1,transmission,24
2017/1/1,transmission,23
2018/1/1,transmission,30
2019/1/1,transmission,29
2020/1/1,transmission,74
2021/1/1,transmission,68
2022/1/1,transmission,49
2013/1/1,treatment,0
2014/1/1,treatment,6
2015/1/1,treatment,0
