date,topic,count
2010/1/1,adolescent,48
2011/1/1,adolescent,56
2012/1/1,adolescent,54
2013/1/1,adolescent,58
2014/1/1,adolescent,85
2015/1/1,adolescent,87
2016/1/1,adolescent,99
2017/1/1,adolescent,102
2018/1/1,adolescent,150
2019/1/1,adolescent,116
2020/1/1,adolescent,0
2021/1/1,adolescent,0
2022/1/1,adolescent,0
2010/1/1,adult,87
2011/1/1,adult,122
2012/1/1,adult,104
2013/1/1,adult,125
2014/1/1,adult,170
2015/1/1,adult,183
2016/1/1,adult,256
2017/1/1,adult,212
2018/1/1,adult,303
2019/1/1,adult,291
2020/1/1,adult,200
2021/1/1,adult,115
2022/1/1,adult,87
2010/1/1,adult female,0
2011/1/1,adult female,0
2012/1/1,adult female,0
2013/1/1,adult female,0
2014/1/1,adult female,0
2015/1/1,adult female,68
2016/1/1,adult female,81
2017/1/1,adult female,0
2018/1/1,adult female,0
2019/1/1,adult female,0
2020/1/1,adult female,0
2021/1/1,adult female,0
2022/1/1,adult female,0
2010/1/1,aged,100
2011/1/1,aged,127
2012/1/1,aged,124
2013/1/1,aged,148
2014/1/1,aged,178
2015/1/1,aged,194
2016/1/1,aged,259
2017/1/1,aged,208
2018/1/1,aged,319
2019/1/1,aged,282
2020/1/1,aged,212
2021/1/1,aged,121
2022/1/1,aged,83
2010/1/1,animals,73
2011/1/1,animals,75
2012/1/1,animals,119
2013/1/1,animals,139
2014/1/1,animals,150
2015/1/1,animals,157
2016/1/1,animals,189
2017/1/1,animals,169
2018/1/1,animals,225
2019/1/1,animals,224
2020/1/1,animals,0
2021/1/1,animals,0
2022/1/1,animals,0
2010/1/1,associated,0
2011/1/1,associated,0
2012/1/1,associated,0
2013/1/1,associated,0
2014/1/1,associated,0
2015/1/1,associated,0
2016/1/1,associated,0
2017/1/1,associated,0
2018/1/1,associated,0
2019/1/1,associated,0
2020/1/1,associated,116
2021/1/1,associated,116
2022/1/1,associated,93
2010/1/1,betacorona,0
2011/1/1,betacorona,0
2012/1/1,betacorona,0
2013/1/1,betacorona,0
2014/1/1,betacorona,0
2015/1/1,betacorona,0
2016/1/1,betacorona,0
2017/1/1,betacorona,0
2018/1/1,betacorona,0
2019/1/1,betacorona,0
2020/1/1,betacorona,109
2021/1/1,betacorona,0
2022/1/1,betacorona,0
2010/1/1,cell,0
2011/1/1,cell,0
2012/1/1,cell,0
2013/1/1,cell,0
2014/1/1,cell,0
2015/1/1,cell,0
2016/1/1,cell,92
2017/1/1,cell,0
2018/1/1,cell,0
2019/1/1,cell,0
2020/1/1,cell,0
2021/1/1,cell,0
2022/1/1,cell,0
2010/1/1,child,77
2011/1/1,child,84
2012/1/1,child,95
2013/1/1,child,94
2014/1/1,child,139
2015/1/1,child,137
2016/1/1,child,170
2017/1/1,child,142
2018/1/1,child,242
2019/1/1,child,158
2020/1/1,child,0
2021/1/1,child,64
2022/1/1,child,70
2010/1/1,child preschool,0
2011/1/1,child preschool,0
2012/1/1,child preschool,0
2013/1/1,child preschool,43
2014/1/1,child preschool,62
2015/1/1,child preschool,0
2016/1/1,child preschool,0
2017/1/1,child preschool,0
2018/1/1,child preschool,104
2019/1/1,child preschool,0
2020/1/1,child preschool,0
2021/1/1,child preschool,0
2022/1/1,child preschool,0
2010/1/1,china,0
2011/1/1,china,0
2012/1/1,china,0
2013/1/1,china,0
2014/1/1,china,0
2015/1/1,china,0
2016/1/1,china,0
2017/1/1,china,0
2018/1/1,china,0
2019/1/1,china,0
2020/1/1,china,107
2021/1/1,china,0
2022/1/1,china,0
2010/1/1,community,0
2011/1/1,community,0
2012/1/1,community,0
2013/1/1,community,0
2014/1/1,community,0
2015/1/1,community,0
2016/1/1,community,0
2017/1/1,community,0
2018/1/1,community,0
2019/1/1,community,0
2020/1/1,community,0
2021/1/1,community,68
2022/1/1,community,0
2010/1/1,control,0
2011/1/1,control,0
2012/1/1,control,45
2013/1/1,control,0
2014/1/1,control,67
2015/1/1,control,82
2016/1/1,control,0
2017/1/1,control,0
2018/1/1,control,0
2019/1/1,control,89
2020/1/1,control,140
2021/1/1,control,135
2022/1/1,control,71
2010/1/1,corona,0
2011/1/1,corona,0
2012/1/1,corona,0
2013/1/1,corona,0
2014/1/1,corona,0
2015/1/1,corona,0
2016/1/1,corona,0
2017/1/1,corona,0
2018/1/1,corona,0
2019/1/1,corona,0
2020/1/1,corona,283
2021/1/1,corona,0
2022/1/1,corona,0
2010/1/1,covid19,0
2011/1/1,covid19,0
2012/1/1,covid19,0
2013/1/1,covid19,0
2014/1/1,covid19,0
2015/1/1,covid19,0
2016/1/1,covid19,0
2017/1/1,covid19,0
2018/1/1,covid19,0
2019/1/1,covid19,0
2020/1/1,covid19,587
2021/1/1,covid19,640
2022/1/1,covid19,543
2010/1/1,covid19 sarscov2,0
2011/1/1,covid19 sarscov2,0
2012/1/1,covid19 sarscov2,0
2013/1/1,covid19 sarscov2,0
2014/1/1,covid19 sarscov2,0
2015/1/1,covid19 sarscov2,0
2016/1/1,covid19 sarscov2,0
2017/1/1,covid19 sarscov2,0
2018/1/1,covid19 sarscov2,0
2019/1/1,covid19 sarscov2,0
2020/1/1,covid19 sarscov2,0
2021/1/1,covid19 sarscov2,72
2022/1/1,covid19 sarscov2,104
2010/1/1,dengue,0
2011/1/1,dengue,0
2012/1/1,dengue,52
2013/1/1,dengue,52
2014/1/1,dengue,65
2015/1/1,dengue,76
2016/1/1,dengue,80
2017/1/1,dengue,0
2018/1/1,dengue,118
2019/1/1,dengue,80
2020/1/1,dengue,0
2021/1/1,dengue,0
2022/1/1,dengue,0
2010/1/1,drug,0
2011/1/1,drug,0
2012/1/1,drug,0
2013/1/1,drug,0
2014/1/1,drug,0
2015/1/1,drug,0
2016/1/1,drug,0
2017/1/1,drug,0
2018/1/1,drug,113
2019/1/1,drug,84
2020/1/1,drug,0
2021/1/1,drug,0
2022/1/1,drug,0
2010/1/1,dynamics,0
2011/1/1,dynamics,0
2012/1/1,dynamics,0
2013/1/1,dynamics,0
2014/1/1,dynamics,0
2015/1/1,dynamics,0
2016/1/1,dynamics,0
2017/1/1,dynamics,0
2018/1/1,dynamics,0
2019/1/1,dynamics,0
2020/1/1,dynamics,0
2021/1/1,dynamics,76
2022/1/1,dynamics,81
2010/1/1,ebola,0
2011/1/1,ebola,0
2012/1/1,ebola,0
2013/1/1,ebola,0
2014/1/1,ebola,0
2015/1/1,ebola,116
2016/1/1,ebola,0
2017/1/1,ebola,0
2018/1/1,ebola,0
2019/1/1,ebola,0
2020/1/1,ebola,0
2021/1/1,ebola,0
2022/1/1,ebola,0
2010/1/1,effects,0
2011/1/1,effects,0
2012/1/1,effects,0
2013/1/1,effects,0
2014/1/1,effects,0
2015/1/1,effects,0
2016/1/1,effects,0
2017/1/1,effects,0
2018/1/1,effects,0
2019/1/1,effects,0
2020/1/1,effects,117
2021/1/1,effects,114
2022/1/1,effects,93
2010/1/1,evolution,0
2011/1/1,evolution,0
2012/1/1,evolution,0
2013/1/1,evolution,48
2014/1/1,evolution,0
2015/1/1,evolution,0
2016/1/1,evolution,0
2017/1/1,evolution,0
2018/1/1,evolution,0
2019/1/1,evolution,0
2020/1/1,evolution,0
2021/1/1,evolution,0
2022/1/1,evolution,0
2010/1/1,female,86
2011/1/1,female,88
2012/1/1,female,85
2013/1/1,female,93
2014/1/1,female,123
2015/1/1,female,167
2016/1/1,female,212
2017/1/1,female,193
2018/1/1,female,256
2019/1/1,female,230
2020/1/1,female,135
2021/1/1,female,0
2022/1/1,female,0
2010/1/1,genetic,62
2011/1/1,genetic,0
2012/1/1,genetic,65
2013/1/1,genetic,78
2014/1/1,genetic,72
2015/1/1,genetic,95
2016/1/1,genetic,124
2017/1/1,genetic,86
2018/1/1,genetic,0
2019/1/1,genetic,101
2020/1/1,genetic,0
2021/1/1,genetic,0
2022/1/1,genetic,0
2010/1/1,genome,0
2011/1/1,genome,0
2012/1/1,genome,0
2013/1/1,genome,0
2014/1/1,genome,0
2015/1/1,genome,0
2016/1/1,genome,0
2017/1/1,genome,70
2018/1/1,genome,0
2019/1/1,genome,0
2020/1/1,genome,0
2021/1/1,genome,0
2022/1/1,genome,0
2010/1/1,h1n1,52
2011/1/1,h1n1,73
2012/1/1,h1n1,0
2013/1/1,h1n1,0
2014/1/1,h1n1,0
2015/1/1,h1n1,0
2016/1/1,h1n1,0
2017/1/1,h1n1,0
2018/1/1,h1n1,0
2019/1/1,h1n1,0
2020/1/1,h1n1,0
2021/1/1,h1n1,0
2022/1/1,h1n1,0
2010/1/1,h1n1 subtype,0
2011/1/1,h1n1 subtype,45
2012/1/1,h1n1 subtype,0
2013/1/1,h1n1 subtype,0
2014/1/1,h1n1 subtype,0
2015/1/1,h1n1 subtype,0
2016/1/1,h1n1 subtype,0
2017/1/1,h1n1 subtype,0
2018/1/1,h1n1 subtype,0
2019/1/1,h1n1 subtype,0
2020/1/1,h1n1 subtype,0
2021/1/1,h1n1 subtype,0
2022/1/1,h1n1 subtype,0
2010/1/1,hiv,49
2011/1/1,hiv,53
2012/1/1,hiv,58
2013/1/1,hiv,56
2014/1/1,hiv,59
2015/1/1,hiv,0
2016/1/1,hiv,0
2017/1/1,hiv,78
2018/1/1,hiv,118
2019/1/1,hiv,0
2020/1/1,hiv,0
2021/1/1,hiv,0
2022/1/1,hiv,96
2010/1/1,hospitalization,0
2011/1/1,hospitalization,0
2012/1/1,hospitalization,0
2013/1/1,hospitalization,0
2014/1/1,hospitalization,0
2015/1/1,hospitalization,0
2016/1/1,hospitalization,0
2017/1/1,hospitalization,0
2018/1/1,hospitalization,0
2019/1/1,hospitalization,0
2020/1/1,hospitalization,0
2021/1/1,hospitalization,91
2022/1/1,hospitalization,67
2010/1/1,immunity,0
2011/1/1,immunity,0
2012/1/1,immunity,53
2013/1/1,immunity,0
2014/1/1,immunity,0
2015/1/1,immunity,0
2016/1/1,immunity,0
2017/1/1,immunity,0
2018/1/1,immunity,0
2019/1/1,immunity,0
2020/1/1,immunity,0
2021/1/1,immunity,0
2022/1/1,immunity,0
2010/1/1,impact,0
2011/1/1,impact,0
2012/1/1,impact,0
2013/1/1,impact,0
2014/1/1,impact,0
2015/1/1,impact,0
2016/1/1,impact,0
2017/1/1,impact,0
2018/1/1,impact,0
2019/1/1,impact,0
2020/1/1,impact,129
2021/1/1,impact,150
2022/1/1,impact,106
2010/1/1,infant,0
2011/1/1,infant,45
2012/1/1,infant,57
2013/1/1,infant,47
2014/1/1,infant,69
2015/1/1,infant,88
2016/1/1,infant,116
2017/1/1,infant,87
2018/1/1,infant,143
2019/1/1,infant,90
2020/1/1,infant,0
2021/1/1,infant,0
2022/1/1,infant,0
2010/1/1,influenza,190
2011/1/1,influenza,229
2012/1/1,influenza,245
2013/1/1,influenza,256
2014/1/1,influenza,268
2015/1/1,influenza,248
2016/1/1,influenza,265
2017/1/1,influenza,228
2018/1/1,influenza,290
2019/1/1,influenza,234
2020/1/1,influenza,168
2021/1/1,influenza,90
2022/1/1,influenza,78
2010/1/1,influenza h1n1,41
2011/1/1,influenza h1n1,54
2012/1/1,influenza h1n1,0
2013/1/1,influenza h1n1,0
2014/1/1,influenza h1n1,0
2015/1/1,influenza h1n1,0
2016/1/1,influenza h1n1,0
2017/1/1,influenza h1n1,0
2018/1/1,influenza h1n1,0
2019/1/1,influenza h1n1,0
2020/1/1,influenza h1n1,0
2021/1/1,influenza h1n1,0
2022/1/1,influenza h1n1,0
2010/1/1,influenza h1n1 subtype,0
2011/1/1,influenza h1n1 subtype,45
2012/1/1,influenza h1n1 subtype,0
2013/1/1,influenza h1n1 subtype,0
2014/1/1,influenza h1n1 subtype,0
2015/1/1,influenza h1n1 subtype,0
2016/1/1,influenza h1n1 subtype,0
2017/1/1,influenza h1n1 subtype,0
2018/1/1,influenza h1n1 subtype,0
2019/1/1,influenza h1n1 subtype,0
2020/1/1,influenza h1n1 subtype,0
2021/1/1,influenza h1n1 subtype,0
2022/1/1,influenza h1n1 subtype,0
2010/1/1,influenza influenza,38
2011/1/1,influenza influenza,0
2012/1/1,influenza influenza,0
2013/1/1,influenza influenza,0
2014/1/1,influenza influenza,0
2015/1/1,influenza influenza,0
2016/1/1,influenza influenza,0
2017/1/1,influenza influenza,0
2018/1/1,influenza influenza,0
2019/1/1,influenza influenza,0
2020/1/1,influenza influenza,0
2021/1/1,influenza influenza,0
2022/1/1,influenza influenza,0
2010/1/1,male,82
2011/1/1,male,83
2012/1/1,male,90
2013/1/1,male,100
2014/1/1,male,127
2015/1/1,male,166
2016/1/1,male,206
2017/1/1,male,195
2018/1/1,male,272
2019/1/1,male,224
2020/1/1,male,138
2021/1/1,male,0
2022/1/1,male,0
2010/1/1,middle,42
2011/1/1,middle,56
2012/1/1,middle,44
2013/1/1,middle,59
2014/1/1,middle,78
2015/1/1,middle,93
2016/1/1,middle,119
2017/1/1,middle,97
2018/1/1,middle,135
2019/1/1,middle,126
2020/1/1,middle,0
2021/1/1,middle,0
2022/1/1,middle,0
2010/1/1,middle aged,40
2011/1/1,middle aged,55
2012/1/1,middle aged,43
2013/1/1,middle aged,57
2014/1/1,middle aged,68
2015/1/1,middle aged,81
2016/1/1,middle aged,109
2017/1/1,middle aged,93
2018/1/1,middle aged,128
2019/1/1,middle aged,123
2020/1/1,middle aged,0
2021/1/1,middle aged,0
2022/1/1,middle aged,0
2010/1/1,networks,0
2011/1/1,networks,0
2012/1/1,networks,0
2013/1/1,networks,0
2014/1/1,networks,0
2015/1/1,networks,0
2016/1/1,networks,0
2017/1/1,networks,0
2018/1/1,networks,0
2019/1/1,networks,0
2020/1/1,networks,0
2021/1/1,networks,70
2022/1/1,networks,0
2010/1/1,pneumococcal,0
2011/1/1,pneumococcal,0
2012/1/1,pneumococcal,0
2013/1/1,pneumococcal,45
2014/1/1,pneumococcal,0
2015/1/1,pneumococcal,0
2016/1/1,pneumococcal,0
2017/1/1,pneumococcal,0
2018/1/1,pneumococcal,0
2019/1/1,pneumococcal,0
2020/1/1,pneumococcal,0
2021/1/1,pneumococcal,0
2022/1/1,pneumococcal,0
2010/1/1,pneumonia,0
2011/1/1,pneumonia,0
2012/1/1,pneumonia,0
2013/1/1,pneumonia,0
2014/1/1,pneumonia,0
2015/1/1,pneumonia,0
2016/1/1,pneumonia,0
2017/1/1,pneumonia,0
2018/1/1,pneumonia,0
2019/1/1,pneumonia,0
2020/1/1,pneumonia,157
2021/1/1,pneumonia,0
2022/1/1,pneumonia,0
2010/1/1,pneumonia viral,0
2011/1/1,pneumonia viral,0
2012/1/1,pneumonia viral,0
2013/1/1,pneumonia viral,0
2014/1/1,pneumonia viral,0
2015/1/1,pneumonia viral,0
2016/1/1,pneumonia viral,0
2017/1/1,pneumonia viral,0
2018/1/1,pneumonia viral,0
2019/1/1,pneumonia viral,0
2020/1/1,pneumonia viral,132
2021/1/1,pneumonia viral,0
2022/1/1,pneumonia viral,0
2010/1/1,preschool,0
2011/1/1,preschool,0
2012/1/1,preschool,0
2013/1/1,preschool,0
2014/1/1,preschool,62
2015/1/1,preschool,0
2016/1/1,preschool,0
2017/1/1,preschool,0
2018/1/1,preschool,104
2019/1/1,preschool,0
2020/1/1,preschool,0
2021/1/1,preschool,0
2022/1/1,preschool,0
2010/1/1,proteins,0
2011/1/1,proteins,0
2012/1/1,proteins,0
2013/1/1,proteins,0
2014/1/1,proteins,0
2015/1/1,proteins,0
2016/1/1,proteins,80
2017/1/1,proteins,0
2018/1/1,proteins,0
2019/1/1,proteins,0
2020/1/1,proteins,0
2021/1/1,proteins,0
2022/1/1,proteins,0
2010/1/1,risk,0
2011/1/1,risk,0
2012/1/1,risk,0
2013/1/1,risk,0
2014/1/1,risk,0
2015/1/1,risk,0
2016/1/1,risk,0
2017/1/1,risk,78
2018/1/1,risk,0
2019/1/1,risk,0
2020/1/1,risk,0
2021/1/1,risk,97
2022/1/1,risk,85
2010/1/1,sarscov2,0
2011/1/1,sarscov2,0
2012/1/1,sarscov2,0
2013/1/1,sarscov2,0
2014/1/1,sarscov2,0
2015/1/1,sarscov2,0
2016/1/1,sarscov2,0
2017/1/1,sarscov2,0
2018/1/1,sarscov2,0
2019/1/1,sarscov2,0
2020/1/1,sarscov2,266
2021/1/1,sarscov2,425
2022/1/1,sarscov2,392
2010/1/1,sequence,37
2011/1/1,sequence,44
2012/1/1,sequence,51
2013/1/1,sequence,48
2014/1/1,sequence,0
2015/1/1,sequence,0
2016/1/1,sequence,0
2017/1/1,sequence,0
2018/1/1,sequence,0
2019/1/1,sequence,0
2020/1/1,sequence,0
2021/1/1,sequence,0
2022/1/1,sequence,0
2010/1/1,statistical,0
2011/1/1,statistical,0
2012/1/1,statistical,61
2013/1/1,statistical,43
2014/1/1,statistical,0
2015/1/1,statistical,0
2016/1/1,statistical,0
2017/1/1,statistical,0
2018/1/1,statistical,0
2019/1/1,statistical,0
2020/1/1,statistical,0
2021/1/1,statistical,0
2022/1/1,statistical,0
2010/1/1,subtype,37
2011/1/1,subtype,56
2012/1/1,subtype,0
2013/1/1,subtype,0
2014/1/1,subtype,0
2015/1/1,subtype,0
2016/1/1,subtype,0
2017/1/1,subtype,0
2018/1/1,subtype,0
2019/1/1,subtype,0
2020/1/1,subtype,0
2021/1/1,subtype,0
2022/1/1,subtype,0
2010/1/1,transmission,0
2011/1/1,transmission,0
2012/1/1,transmission,0
2013/1/1,transmission,0
2014/1/1,transmission,0
2015/1/1,transmission,0
2016/1/1,transmission,0
2017/1/1,transmission,0
2018/1/1,transmission,0
2019/1/1,transmission,0
2020/1/1,transmission,162
2021/1/1,transmission,168
2022/1/1,transmission,122
2010/1/1,using,0
2011/1/1,using,0
2012/1/1,using,0
2013/1/1,using,0
2014/1/1,using,0
2015/1/1,using,0
2016/1/1,using,0
2017/1/1,using,70
2018/1/1,using,0
2019/1/1,using,91
2020/1/1,using,162
2021/1/1,using,164
2022/1/1,using,135
2010/1/1,variants,0
2011/1/1,variants,0
2012/1/1,variants,0
2013/1/1,variants,0
2014/1/1,variants,0
2015/1/1,variants,0
2016/1/1,variants,0
2017/1/1,variants,0
2018/1/1,variants,0
2019/1/1,variants,0
2020/1/1,variants,0
2021/1/1,variants,0
2022/1/1,variants,87
2010/1/1,viral,43
2011/1/1,viral,0
2012/1/1,viral,57
2013/1/1,viral,0
2014/1/1,viral,0
2015/1/1,viral,67
2016/1/1,viral,90
2017/1/1,viral,88
2018/1/1,viral,128
2019/1/1,viral,99
2020/1/1,viral,226
2021/1/1,viral,76
2022/1/1,viral,75
2010/1/1,young,37
2011/1/1,young,46
2012/1/1,young,0
2013/1/1,young,0
2014/1/1,young,63
2015/1/1,young,74
2016/1/1,young,92
2017/1/1,young,91
2018/1/1,young,128
2019/1/1,young,115
2020/1/1,young,0
2021/1/1,young,0
2022/1/1,young,0
2010/1/1,young adult,0
2011/1/1,young adult,0
2012/1/1,young adult,0
2013/1/1,young adult,0
2014/1/1,young adult,62
2015/1/1,young adult,71
2016/1/1,young adult,88
2017/1/1,young adult,83
2018/1/1,young adult,117
2019/1/1,young adult,108
2020/1/1,young adult,0
2021/1/1,young adult,0
2022/1/1,young adult,0
