date,topic,count
2013/1/1,accurate,0
2014/1/1,accurate,0
2015/1/1,accurate,0
2016/1/1,accurate,0
2017/1/1,accurate,0
2018/1/1,accurate,73
2019/1/1,accurate,0
2020/1/1,accurate,0
2021/1/1,accurate,0
2022/1/1,accurate,0
2023/1/1,accurate,0
2013/1/1,active,0
2014/1/1,active,0
2015/1/1,active,0
2016/1/1,active,59
2017/1/1,active,0
2018/1/1,active,0
2019/1/1,active,0
2020/1/1,active,0
2021/1/1,active,0
2022/1/1,active,0
2023/1/1,active,0
2013/1/1,addition,0
2014/1/1,addition,0
2015/1/1,addition,51
2016/1/1,addition,0
2017/1/1,addition,0
2018/1/1,addition,0
2019/1/1,addition,0
2020/1/1,addition,0
2021/1/1,addition,0
2022/1/1,addition,0
2023/1/1,addition,0
2013/1/1,adjusted,0
2014/1/1,adjusted,0
2015/1/1,adjusted,0
2016/1/1,adjusted,0
2017/1/1,adjusted,0
2018/1/1,adjusted,0
2019/1/1,adjusted,0
2020/1/1,adjusted,0
2021/1/1,adjusted,159
2022/1/1,adjusted,142
2023/1/1,adjusted,154
2013/1/1,africa,0
2014/1/1,africa,0
2015/1/1,africa,50
2016/1/1,africa,0
2017/1/1,africa,0
2018/1/1,africa,0
2019/1/1,africa,0
2020/1/1,africa,0
2021/1/1,africa,0
2022/1/1,africa,0
2023/1/1,africa,0
2013/1/1,benefits,0
2014/1/1,benefits,0
2015/1/1,benefits,0
2016/1/1,benefits,0
2017/1/1,benefits,61
2018/1/1,benefits,73
2019/1/1,benefits,85
2020/1/1,benefits,0
2021/1/1,benefits,0
2022/1/1,benefits,0
2023/1/1,benefits,0
2013/1/1,cells,0
2014/1/1,cells,47
2015/1/1,cells,0
2016/1/1,cells,61
2017/1/1,cells,59
2018/1/1,cells,75
2019/1/1,cells,0
2020/1/1,cells,0
2021/1/1,cells,0
2022/1/1,cells,0
2023/1/1,cells,0
2013/1/1,china,0
2014/1/1,china,0
2015/1/1,china,0
2016/1/1,china,0
2017/1/1,china,0
2018/1/1,china,0
2019/1/1,china,0
2020/1/1,china,167
2021/1/1,china,0
2022/1/1,china,0
2023/1/1,china,0
2013/1/1,combination,35
2014/1/1,combination,41
2015/1/1,combination,0
2016/1/1,combination,0
2017/1/1,combination,61
2018/1/1,combination,74
2019/1/1,combination,0
2020/1/1,combination,0
2021/1/1,combination,0
2022/1/1,combination,0
2023/1/1,combination,0
2013/1/1,communities,0
2014/1/1,communities,0
2015/1/1,communities,50
2016/1/1,communities,0
2017/1/1,communities,0
2018/1/1,communities,0
2019/1/1,communities,93
2020/1/1,communities,0
2021/1/1,communities,0
2022/1/1,communities,0
2023/1/1,communities,0
2013/1/1,coronavirus,0
2014/1/1,coronavirus,0
2015/1/1,coronavirus,0
2016/1/1,coronavirus,0
2017/1/1,coronavirus,0
2018/1/1,coronavirus,0
2019/1/1,coronavirus,0
2020/1/1,coronavirus,256
2021/1/1,coronavirus,187
2022/1/1,coronavirus,134
2023/1/1,coronavirus,0
2013/1/1,coverage,0
2014/1/1,coverage,0
2015/1/1,coverage,0
2016/1/1,coverage,57
2017/1/1,coverage,0
2018/1/1,coverage,0
2019/1/1,coverage,85
2020/1/1,coverage,0
2021/1/1,coverage,0
2022/1/1,coverage,0
2023/1/1,coverage,0
2013/1/1,covid,0
2014/1/1,covid,0
2015/1/1,covid,0
2016/1/1,covid,0
2017/1/1,covid,0
2018/1/1,covid,0
2019/1/1,covid,0
2020/1/1,covid,176
2021/1/1,covid,203
2022/1/1,covid,0
2023/1/1,covid,0
2013/1/1,covid19,0
2014/1/1,covid19,0
2015/1/1,covid19,0
2016/1/1,covid19,0
2017/1/1,covid19,0
2018/1/1,covid19,0
2019/1/1,covid19,0
2020/1/1,covid19,386
2021/1/1,covid19,597
2022/1/1,covid19,514
2023/1/1,covid19,350
2013/1/1,critical,0
2014/1/1,critical,0
2015/1/1,critical,0
2016/1/1,critical,0
2017/1/1,critical,0
2018/1/1,critical,79
2019/1/1,critical,0
2020/1/1,critical,145
2021/1/1,critical,176
2022/1/1,critical,0
2023/1/1,critical,0
2013/1/1,despite,0
2014/1/1,despite,0
2015/1/1,despite,0
2016/1/1,despite,0
2017/1/1,despite,0
2018/1/1,despite,0
2019/1/1,despite,0
2020/1/1,despite,0
2021/1/1,despite,0
2022/1/1,despite,138
2023/1/1,despite,0
2013/1/1,diversity,41
2014/1/1,diversity,0
2015/1/1,diversity,0
2016/1/1,diversity,57
2017/1/1,diversity,60
2018/1/1,diversity,0
2019/1/1,diversity,91
2020/1/1,diversity,0
2021/1/1,diversity,0
2022/1/1,diversity,0
2023/1/1,diversity,0
2013/1/1,environment,37
2014/1/1,environment,0
2015/1/1,environment,0
2016/1/1,environment,0
2017/1/1,environment,0
2018/1/1,environment,0
2019/1/1,environment,0
2020/1/1,environment,0
2021/1/1,environment,0
2022/1/1,environment,0
2023/1/1,environment,0
2013/1/1,environmental,37
2014/1/1,environmental,0
2015/1/1,environmental,0
2016/1/1,environmental,0
2017/1/1,environmental,0
2018/1/1,environmental,0
2019/1/1,environmental,0
2020/1/1,environmental,0
2021/1/1,environmental,0
2022/1/1,environmental,0
2023/1/1,environmental,0
2013/1/1,fitness,45
2014/1/1,fitness,51
2015/1/1,fitness,58
2016/1/1,fitness,68
2017/1/1,fitness,61
2018/1/1,fitness,88
2019/1/1,fitness,87
2020/1/1,fitness,0
2021/1/1,fitness,0
