date,topic,count
2013/1/1,2019 novel coronavirus,0
2014/1/1,2019 novel coronavirus,0
2015/1/1,2019 novel coronavirus,0
2016/1/1,2019 novel coronavirus,0
2017/1/1,2019 novel coronavirus,0
2018/1/1,2019 novel coronavirus,0
2019/1/1,2019 novel coronavirus,0
2020/1/1,2019 novel coronavirus,7
2021/1/1,2019 novel coronavirus,0
2022/1/1,2019 novel coronavirus,0
2013/1/1,acute respiratory syndrome,0
2014/1/1,acute respiratory syndrome,0
2015/1/1,acute respiratory syndrome,0
2016/1/1,acute respiratory syndrome,0
2017/1/1,acute respiratory syndrome,0
2018/1/1,acute respiratory syndrome,0
2019/1/1,acute respiratory syndrome,0
2020/1/1,acute respiratory syndrome,13
2021/1/1,acute respiratory syndrome,0
2022/1/1,acute respiratory syndrome,6
2013/1/1,african green monkey,0
2014/1/1,african green monkey,0
2015/1/1,african green monkey,0
2016/1/1,african green monkey,0
2017/1/1,african green monkey,0
2018/1/1,african green monkey,2
2019/1/1,african green monkey,0
2020/1/1,african green monkey,0
2021/1/1,african green monkey,0
2022/1/1,african green monkey,0
2013/1/1,agentbased model vaccine,0
2014/1/1,agentbased model vaccine,0
2015/1/1,agentbased model vaccine,0
2016/1/1,agentbased model vaccine,0
2017/1/1,agentbased model vaccine,2
2018/1/1,agentbased model vaccine,0
2019/1/1,agentbased model vaccine,0
2020/1/1,agentbased model vaccine,0
2021/1/1,agentbased model vaccine,0
2022/1/1,agentbased model vaccine,0
2013/1/1,analysis microarray sam,0
2014/1/1,analysis microarray sam,0
2015/1/1,analysis microarray sam,0
2016/1/1,analysis microarray sam,0
2017/1/1,analysis microarray sam,0
2018/1/1,analysis microarray sam,2
2019/1/1,analysis microarray sam,0
2020/1/1,analysis microarray sam,0
2021/1/1,analysis microarray sam,0
2022/1/1,analysis microarray sam,0
2013/1/1,antibiotic consumption ambulatory,0
2014/1/1,antibiotic consumption ambulatory,2
2015/1/1,antibiotic consumption ambulatory,0
2016/1/1,antibiotic consumption ambulatory,0
2017/1/1,antibiotic consumption ambulatory,0
2018/1/1,antibiotic consumption ambulatory,0
2019/1/1,antibiotic consumption ambulatory,0
2020/1/1,antibiotic consumption ambulatory,0
2021/1/1,antibiotic consumption ambulatory,0
2022/1/1,antibiotic consumption ambulatory,0
2013/1/1,antibody human influenza,0
2014/1/1,antibody human influenza,2
2015/1/1,antibody human influenza,0
2016/1/1,antibody human influenza,0
2017/1/1,antibody human influenza,0
2018/1/1,antibody human influenza,0
2019/1/1,antibody human influenza,0
2020/1/1,antibody human influenza,0
2021/1/1,antibody human influenza,0
2022/1/1,antibody human influenza,0
2013/1/1,approximate bayesian computational,0
2014/1/1,approximate bayesian computational,0
2015/1/1,approximate bayesian computational,0
2016/1/1,approximate bayesian computational,0
2017/1/1,approximate bayesian computational,0
2018/1/1,approximate bayesian computational,2
2019/1/1,approximate bayesian computational,0
2020/1/1,approximate bayesian computational,0
2021/1/1,approximate bayesian computational,0
2022/1/1,approximate bayesian computational,0
2013/1/1,arbovirus disease model,0
2014/1/1,arbovirus disease model,2
2015/1/1,arbovirus disease model,0
2016/1/1,arbovirus disease model,0
2017/1/1,arbovirus disease model,0
2018/1/1,arbovirus disease model,0
2019/1/1,arbovirus disease model,0
2020/1/1,arbovirus disease model,0
2021/1/1,arbovirus disease model,0
2022/1/1,arbovirus disease model,0
2013/1/1,asymptomatic infection influenza,0
2014/1/1,asymptomatic infection influenza,0
2015/1/1,asymptomatic infection influenza,2
2016/1/1,asymptomatic infection influenza,0
2017/1/1,asymptomatic infection influenza,0
2018/1/1,asymptomatic infection influenza,0
2019/1/1,asymptomatic infection influenza,0
2020/1/1,asymptomatic infection influenza,0
2021/1/1,asymptomatic infection influenza,0
2022/1/1,asymptomatic infection influenza,0
2013/1/1,basic reproduction number,0
2014/1/1,basic reproduction number,0
2015/1/1,basic reproduction number,0
2016/1/1,basic reproduction number,3
2017/1/1,basic reproduction number,0
2018/1/1,basic reproduction number,0
2019/1/1,basic reproduction number,0
2020/1/1,basic reproduction number,0
2021/1/1,basic reproduction number,0
2022/1/1,basic reproduction number,0
2013/1/1,bayesian hierarchical model,0
2014/1/1,bayesian hierarchical model,0
2015/1/1,bayesian hierarchical model,0
2016/1/1,bayesian hierarchical model,0
2017/1/1,bayesian hierarchical model,0
2018/1/1,bayesian hierarchical model,0
2019/1/1,bayesian hierarchical model,3
2020/1/1,bayesian hierarchical model,0
2021/1/1,bayesian hierarchical model,0
2022/1/1,bayesian hierarchical model,0
2013/1/1,chain monte carlo,2
2014/1/1,chain monte carlo,0
2015/1/1,chain monte carlo,2
2016/1/1,chain monte carlo,0
2017/1/1,chain monte carlo,0
2018/1/1,chain monte carlo,0
2019/1/1,chain monte carlo,0
2020/1/1,chain monte carlo,0
2021/1/1,chain monte carlo,0
2022/1/1,chain monte carlo,0
2013/1/1,cluster randomized trial,0
2014/1/1,cluster randomized trial,0
2015/1/1,cluster randomized trial,0
2016/1/1,cluster randomized trial,0
2017/1/1,cluster randomized trial,0
2018/1/1,cluster randomized trial,0
2019/1/1,cluster randomized trial,3
2020/1/1,cluster randomized trial,0
2021/1/1,cluster randomized trial,0
2022/1/1,cluster randomized trial,0
2013/1/1,components statistical model,0
2014/1/1,components statistical model,2
2015/1/1,components statistical model,0
2016/1/1,components statistical model,0
2017/1/1,components statistical model,0
2018/1/1,components statistical model,0
2019/1/1,components statistical model,0
2020/1/1,components statistical model,0
2021/1/1,components statistical model,0
2022/1/1,components statistical model,0
2013/1/1,coronavirus disease 2019,0
2014/1/1,coronavirus disease 2019,0
2015/1/1,coronavirus disease 2019,0
2016/1/1,coronavirus disease 2019,0
2017/1/1,coronavirus disease 2019,0
2018/1/1,coronavirus disease 2019,0
2019/1/1,coronavirus disease 2019,0
2020/1/1,coronavirus disease 2019,7
2021/1/1,coronavirus disease 2019,7
2022/1/1,coronavirus disease 2019,6
2013/1/1,covid19 covid19 transmission,0
2014/1/1,covid19 covid19 transmission,0
2015/1/1,covid19 covid19 transmission,0
2016/1/1,covid19 covid19 transmission,0
2017/1/1,covid19 covid19 transmission,0
2018/1/1,covid19 covid19 transmission,0
2019/1/1,covid19 covid19 transmission,0
2020/1/1,covid19 covid19 transmission,0
2021/1/1,covid19 covid19 transmission,5
2022/1/1,covid19 covid19 transmission,0
2013/1/1,covid19 epidemiology covid19,0
2014/1/1,covid19 epidemiology covid19,0
2015/1/1,covid19 epidemiology covid19,0
2016/1/1,covid19 epidemiology covid19,0
2017/1/1,covid19 epidemiology covid19,0
2018/1/1,covid19 epidemiology covid19,0
2019/1/1,covid19 epidemiology covid19,0
2020/1/1,covid19 epidemiology covid19,5
2021/1/1,covid19 epidemiology covid19,5
2022/1/1,covid19 epidemiology covid19,5
2013/1/1,covid19 herd immunity,0
2014/1/1,covid19 herd immunity,0
2015/1/1,covid19 herd immunity,0
2016/1/1,covid19 herd immunity,0
2017/1/1,covid19 herd immunity,0
2018/1/1,covid19 herd immunity,0
2019/1/1,covid19 herd immunity,0
2020/1/1,covid19 herd immunity,0
2021/1/1,covid19 herd immunity,5
2022/1/1,covid19 herd immunity,0
2013/1/1,covid19 mathematical model,0
2014/1/1,covid19 mathematical model,0
2015/1/1,covid19 mathematical model,0
2016/1/1,covid19 mathematical model,0
2017/1/1,covid19 mathematical model,0
2018/1/1,covid19 mathematical model,0
2019/1/1,covid19 mathematical model,0
2020/1/1,covid19 mathematical model,5
2021/1/1,covid19 mathematical model,14
2022/1/1,covid19 mathematical model,5
2013/1/1,covid19 nonpharmaceutical interventions,0
2014/1/1,covid19 nonpharmaceutical interventions,0
2015/1/1,covid19 nonpharmaceutical interventions,0
2016/1/1,covid19 nonpharmaceutical interventions,0
2017/1/1,covid19 nonpharmaceutical interventions,0
2018/1/1,covid19 nonpharmaceutical interventions,0
2019/1/1,covid19 nonpharmaceutical interventions,0
2020/1/1,covid19 nonpharmaceutical interventions,6
2021/1/1,covid19 nonpharmaceutical interventions,8
2022/1/1,covid19 nonpharmaceutical interventions,5
2013/1/1,covid19 omicron variant,0
2014/1/1,covid19 omicron variant,0
2015/1/1,covid19 omicron variant,0
2016/1/1,covid19 omicron variant,0
2017/1/1,covid19 omicron variant,0
2018/1/1,covid19 omicron variant,0
2019/1/1,covid19 omicron variant,0
2020/1/1,covid19 omicron variant,0
2021/1/1,covid19 omicron variant,0
2022/1/1,covid19 omicron variant,5
2013/1/1,covid19 reproduction number,0
2014/1/1,covid19 reproduction number,0
2015/1/1,covid19 reproduction number,0
2016/1/1,covid19 reproduction number,0
