date,topic,count
2010/1/1,2009 h1n1,0
2011/1/1,2009 h1n1,12
2012/1/1,2009 h1n1,0
2013/1/1,2009 h1n1,0
2014/1/1,2009 h1n1,0
2015/1/1,2009 h1n1,0
2016/1/1,2009 h1n1,0
2017/1/1,2009 h1n1,0
2018/1/1,2009 h1n1,0
2019/1/1,2009 h1n1,0
2020/1/1,2009 h1n1,0
2021/1/1,2009 h1n1,0
2022/1/1,2009 h1n1,0
2010/1/1,2009 influenza,0
2011/1/1,2009 influenza,12
2012/1/1,2009 influenza,0
2013/1/1,2009 influenza,0
2014/1/1,2009 influenza,0
2015/1/1,2009 influenza,0
2016/1/1,2009 influenza,0
2017/1/1,2009 influenza,0
2018/1/1,2009 influenza,0
2019/1/1,2009 influenza,0
2020/1/1,2009 influenza,0
2021/1/1,2009 influenza,0
2022/1/1,2009 influenza,0
2010/1/1,2019 novel,0
2011/1/1,2019 novel,0
2012/1/1,2019 novel,0
2013/1/1,2019 novel,0
2014/1/1,2019 novel,0
2015/1/1,2019 novel,0
2016/1/1,2019 novel,0
2017/1/1,2019 novel,0
2018/1/1,2019 novel,0
2019/1/1,2019 novel,0
2020/1/1,2019 novel,33
2021/1/1,2019 novel,0
2022/1/1,2019 novel,0
2010/1/1,80 adult,0
2011/1/1,80 adult,0
2012/1/1,80 adult,0
2013/1/1,80 adult,0
2014/1/1,80 adult,16
2015/1/1,80 adult,0
2016/1/1,80 adult,0
2017/1/1,80 adult,0
2018/1/1,80 adult,0
2019/1/1,80 adult,0
2020/1/1,80 adult,0
2021/1/1,80 adult,0
2022/1/1,80 adult,0
2010/1/1,acute respiratory,0
2011/1/1,acute respiratory,0
2012/1/1,acute respiratory,0
2013/1/1,acute respiratory,0
2014/1/1,acute respiratory,0
2015/1/1,acute respiratory,0
2016/1/1,acute respiratory,0
2017/1/1,acute respiratory,0
2018/1/1,acute respiratory,0
2019/1/1,acute respiratory,0
2020/1/1,acute respiratory,0
2021/1/1,acute respiratory,17
2022/1/1,acute respiratory,0
2010/1/1,adolescent adult,11
2011/1/1,adolescent adult,12
2012/1/1,adolescent adult,0
2013/1/1,adolescent adult,0
2014/1/1,adolescent adult,18
2015/1/1,adolescent adult,24
2016/1/1,adolescent adult,25
2017/1/1,adolescent adult,24
2018/1/1,adolescent adult,30
2019/1/1,adolescent adult,32
2020/1/1,adolescent adult,0
2021/1/1,adolescent adult,0
2022/1/1,adolescent adult,0
2010/1/1,adolescent female,0
2011/1/1,adolescent female,0
2012/1/1,adolescent female,0
2013/1/1,adolescent female,0
2014/1/1,adolescent female,0
2015/1/1,adolescent female,0
2016/1/1,adolescent female,0
2017/1/1,adolescent female,0
2018/1/1,adolescent female,28
