year,topic,count
2010/1/1,approach,0
2011/1/1,approach,0
2012/1/1,approach,0
2013/1/1,approach,0
2014/1/1,approach,0
2015/1/1,approach,0
2016/1/1,approach,0
2017/1/1,approach,166
2018/1/1,approach,0
2019/1/1,approach,249
2020/1/1,approach,0
2021/1/1,approach,0
2022/1/1,approach,0
2010/1/1,associated,70
2011/1/1,associated,70
2012/1/1,associated,89
2013/1/1,associated,109
2014/1/1,associated,142
2015/1/1,associated,144
2016/1/1,associated,187
2017/1/1,associated,187
2018/1/1,associated,243
2019/1/1,associated,286
2020/1/1,associated,454
2021/1/1,associated,514
2022/1/1,associated,396
2010/1/1,based,0
2011/1/1,based,85
2012/1/1,based,0
2013/1/1,based,113
2014/1/1,based,0
2015/1/1,based,155
2016/1/1,based,0
2017/1/1,based,175
2018/1/1,based,214
2019/1/1,based,253
2020/1/1,based,415
2021/1/1,based,0
2022/1/1,based,0
2010/1/1,conclusions,91
2011/1/1,conclusions,87
2012/1/1,conclusions,108
2013/1/1,conclusions,125
2014/1/1,conclusions,147
2015/1/1,conclusions,175
2016/1/1,conclusions,219
2017/1/1,conclusions,203
2018/1/1,conclusions,296
2019/1/1,conclusions,345
2020/1/1,conclusions,549
2021/1/1,conclusions,635
2022/1/1,conclusions,470
2010/1/1,control,0
2011/1/1,control,0
2012/1/1,control,90
2013/1/1,control,100
2014/1/1,control,137
2015/1/1,control,148
2016/1/1,control,167
2017/1/1,control,163
2018/1/1,control,0
2019/1/1,control,249
2020/1/1,control,433
2021/1/1,control,491
2022/1/1,control,0
2010/1/1,covid19,0
2011/1/1,covid19,0
2012/1/1,covid19,0
2013/1/1,covid19,0
2014/1/1,covid19,0
2015/1/1,covid19,0
2016/1/1,covid19,0
2017/1/1,covid19,0
2018/1/1,covid19,0
2019/1/1,covid19,0
2020/1/1,covid19,542
2021/1/1,covid19,680
2022/1/1,covid19,466
2010/1/1,developed,79
2011/1/1,developed,96
2012/1/1,developed,118
2013/1/1,developed,124
2014/1/1,developed,149
2015/1/1,developed,177
2016/1/1,developed,229
2017/1/1,developed,210
2018/1/1,developed,260
2019/1/1,developed,287
2020/1/1,developed,442
2021/1/1,developed,466
2022/1/1,developed,343
2010/1/1,different,84
2011/1/1,different,106
2012/1/1,different,117
2013/1/1,different,135
2014/1/1,different,154
2015/1/1,different,208
2016/1/1,different,224
2017/1/1,different,236
2018/1/1,different,283
2019/1/1,different,337
2020/1/1,different,492
2021/1/1,different,556
2022/1/1,different,403
2010/1/1,dynamics,0
2011/1/1,dynamics,74
2012/1/1,dynamics,0
2013/1/1,dynamics,0
2014/1/1,dynamics,0
2015/1/1,dynamics,0
2016/1/1,dynamics,0
