date,topic,count
2013/1/1,2014 authors,0
2014/1/1,2014 authors,14
2015/1/1,2014 authors,0
2016/1/1,2014 authors,0
2017/1/1,2014 authors,0
2018/1/1,2014 authors,0
2019/1/1,2014 authors,0
2020/1/1,2014 authors,0
2021/1/1,2014 authors,0
2022/1/1,2014 authors,0
2013/1/1,2019 covid19,0
2014/1/1,2019 covid19,0
2015/1/1,2019 covid19,0
2016/1/1,2019 covid19,0
2017/1/1,2019 covid19,0
2018/1/1,2019 covid19,0
2019/1/1,2019 covid19,0
2020/1/1,2019 covid19,75
2021/1/1,2019 covid19,0
2022/1/1,2019 covid19,0
2013/1/1,2019 published,0
2014/1/1,2019 published,0
2015/1/1,2019 published,0
2016/1/1,2019 published,0
2017/1/1,2019 published,0
2018/1/1,2019 published,0
2019/1/1,2019 published,37
2020/1/1,2019 published,0
2021/1/1,2019 published,0
2022/1/1,2019 published,0
2013/1/1,2020 published,0
2014/1/1,2020 published,0
2015/1/1,2020 published,0
2016/1/1,2020 published,0
2017/1/1,2020 published,0
2018/1/1,2020 published,0
2019/1/1,2020 published,0
2020/1/1,2020 published,78
2021/1/1,2020 published,0
2022/1/1,2020 published,0
2013/1/1,2021 authors,0
2014/1/1,2021 authors,0
2015/1/1,2021 authors,0
2016/1/1,2021 authors,0
2017/1/1,2021 authors,0
2018/1/1,2021 authors,0
2019/1/1,2021 authors,0
2020/1/1,2021 authors,0
2021/1/1,2021 authors,78
2022/1/1,2021 authors,0
2013/1/1,2021 published,0
2014/1/1,2021 published,0
2015/1/1,2021 published,0
2016/1/1,2021 published,0
2017/1/1,2021 published,0
2018/1/1,2021 published,0
2019/1/1,2021 published,0
2020/1/1,2021 published,0
2021/1/1,2021 published,89
2022/1/1,2021 published,0
2013/1/1,2022 authors,0
2014/1/1,2022 authors,0
2015/1/1,2022 authors,0
2016/1/1,2022 authors,0
2017/1/1,2022 authors,0
2018/1/1,2022 authors,0
2019/1/1,2022 authors,0
2020/1/1,2022 authors,0
2021/1/1,2022 authors,0
2022/1/1,2022 authors,99
2013/1/1,acute respiratory,0
2014/1/1,acute respiratory,0
2015/1/1,acute respiratory,0
2016/1/1,acute respiratory,0
2017/1/1,acute respiratory,0
2018/1/1,acute respiratory,0
2019/1/1,acute respiratory,0
2020/1/1,acute respiratory,118
2021/1/1,acute respiratory,106
2022/1/1,acute respiratory,58
2013/1/1,age group,0
2014/1/1,age group,16
2015/1/1,age group,20
2016/1/1,age group,25
2017/1/1,age group,27
2018/1/1,age group,33
2019/1/1,age group,41
2020/1/1,age group,0
2021/1/1,age group,0
2022/1/1,age group,66
2013/1/1,agentbased model,0
2014/1/1,agentbased model,0
2015/1/1,agentbased model,16
2016/1/1,agentbased model,0
2017/1/1,agentbased model,0
2018/1/1,agentbased model,0
2019/1/1,agentbased model,0
2020/1/1,agentbased model,0
2021/1/1,agentbased model,0
2022/1/1,agentbased model,0
2013/1/1,america rights,0
2014/1/1,america rights,0
2015/1/1,america rights,0
2016/1/1,america rights,21
2017/1/1,america rights,0
2018/1/1,america rights,0
2019/1/1,america rights,0
2020/1/1,america rights,0
2021/1/1,america rights,0
2022/1/1,america rights,0
2013/1/1,authors 2014,0
2014/1/1,authors 2014,17
2015/1/1,authors 2014,0
2016/1/1,authors 2014,0
2017/1/1,authors 2014,0
2018/1/1,authors 2014,0
2019/1/1,authors 2014,0
2020/1/1,authors 2014,0
2021/1/1,authors 2014,0
2022/1/1,authors 2014,0
2013/1/1,authors 2015,0
2014/1/1,authors 2015,0
2015/1/1,authors 2015,26
2016/1/1,authors 2015,0
2017/1/1,authors 2015,0
2018/1/1,authors 2015,0
2019/1/1,authors 2015,0
2020/1/1,authors 2015,0
2021/1/1,authors 2015,0
2022/1/1,authors 2015,0
2013/1/1,authors 2016,0
2014/1/1,authors 2016,0
2015/1/1,authors 2016,0
2016/1/1,authors 2016,37
2017/1/1,authors 2016,0
2018/1/1,authors 2016,0
2019/1/1,authors 2016,0
2020/1/1,authors 2016,0
2021/1/1,authors 2016,0
2022/1/1,authors 2016,0
2013/1/1,authors 2017,0
2014/1/1,authors 2017,0
2015/1/1,authors 2017,0
2016/1/1,authors 2017,0
2017/1/1,authors 2017,32
2018/1/1,authors 2017,0
2019/1/1,authors 2017,0
2020/1/1,authors 2017,0
2021/1/1,authors 2017,0
2022/1/1,authors 2017,0
2013/1/1,authors 2019,0
2014/1/1,authors 2019,0
2015/1/1,authors 2019,0
2016/1/1,authors 2019,0
2017/1/1,authors 2019,0
2018/1/1,authors 2019,0
2019/1/1,authors 2019,70
2020/1/1,authors 2019,0
2021/1/1,authors 2019,0
2022/1/1,authors 2019,0
2013/1/1,authors 2020,0
2014/1/1,authors 2020,0
2015/1/1,authors 2020,0
2016/1/1,authors 2020,0
2017/1/1,authors 2020,0
2018/1/1,authors 2020,0
2019/1/1,authors 2020,0
2020/1/1,authors 2020,129
2021/1/1,authors 2020,0
2022/1/1,authors 2020,0
2013/1/1,authors 2021,0
2014/1/1,authors 2021,0
2015/1/1,authors 2021,0
2016/1/1,authors 2021,0
2017/1/1,authors 2021,0
2018/1/1,authors 2021,0
2019/1/1,authors 2021,0
2020/1/1,authors 2021,0
2021/1/1,authors 2021,157
2022/1/1,authors 2021,0
2013/1/1,authors 2022,0
2014/1/1,authors 2022,0
2015/1/1,authors 2022,0
2016/1/1,authors 2022,0
2017/1/1,authors 2022,0
2018/1/1,authors 2022,0
2019/1/1,authors 2022,0
2020/1/1,authors 2022,0
2021/1/1,authors 2022,0
2022/1/1,authors 2022,127
2013/1/1,avian influenza,15
2014/1/1,avian influenza,0
2015/1/1,avian influenza,0
2016/1/1,avian influenza,0
2017/1/1,avian influenza,0
2018/1/1,avian influenza,0
2019/1/1,avian influenza,0
2020/1/1,avian influenza,0
2021/1/1,avian influenza,0
2022/1/1,avian influenza,0
2013/1/1,better understanding,0
2014/1/1,better understanding,0
2015/1/1,better understanding,19
2016/1/1,better understanding,0
2017/1/1,better understanding,26
2018/1/1,better understanding,0
2019/1/1,better understanding,35
2020/1/1,better understanding,0
2021/1/1,better understanding,0
2022/1/1,better understanding,0
2013/1/1,climate changes,12
2014/1/1,climate changes,0
2015/1/1,climate changes,0
2016/1/1,climate changes,0
2017/1/1,climate changes,0
2018/1/1,climate changes,0
2019/1/1,climate changes,0
2020/1/1,climate changes,0
2021/1/1,climate changes,0
2022/1/1,climate changes,0
2013/1/1,coronavirus disease,0
2014/1/1,coronavirus disease,0
2015/1/1,coronavirus disease,0
2016/1/1,coronavirus disease,0
2017/1/1,coronavirus disease,0
2018/1/1,coronavirus disease,0
2019/1/1,coronavirus disease,0
2020/1/1,coronavirus disease,114
2021/1/1,coronavirus disease,102
2022/1/1,coronavirus disease,50
2013/1/1,coronavirus sarscov2,0
2014/1/1,coronavirus sarscov2,0
2015/1/1,coronavirus sarscov2,0
2016/1/1,coronavirus sarscov2,0
2017/1/1,coronavirus sarscov2,0
2018/1/1,coronavirus sarscov2,0
2019/1/1,coronavirus sarscov2,0
2020/1/1,coronavirus sarscov2,74
2021/1/1,coronavirus sarscov2,76
2022/1/1,coronavirus sarscov2,0
2013/1/1,covid19 cases,0
2014/1/1,covid19 cases,0
2015/1/1,covid19 cases,0
2016/1/1,covid19 cases,0
2017/1/1,covid19 cases,0
2018/1/1,covid19 cases,0
2019/1/1,covid19 cases,0
2020/1/1,covid19 cases,83
2021/1/1,covid19 cases,0
2022/1/1,covid19 cases,57
2013/1/1,covid19 pandemic,0
2014/1/1,covid19 pandemic,0
2015/1/1,covid19 pandemic,0
2016/1/1,covid19 pandemic,0
2017/1/1,covid19 pandemic,0
2018/1/1,covid19 pandemic,0
2019/1/1,covid19 pandemic,0
2020/1/1,covid19 pandemic,138
2021/1/1,covid19 pandemic,219
2022/1/1,covid19 pandemic,164
2013/1/1,covid19 vaccination,0
2014/1/1,covid19 vaccination,0
2015/1/1,covid19 vaccination,0
2016/1/1,covid19 vaccination,0
2017/1/1,covid19 vaccination,0
2018/1/1,covid19 vaccination,0
2019/1/1,covid19 vaccination,0
2020/1/1,covid19 vaccination,0
2021/1/1,covid19 vaccination,0
2022/1/1,covid19 vaccination,57
2013/1/1,data collected,11
2014/1/1,data collected,16
2015/1/1,data collected,18
2016/1/1,data collected,0
2017/1/1,data collected,27
2018/1/1,data collected,29
2019/1/1,data collected,36
2020/1/1,data collected,0
2021/1/1,data collected,0
2022/1/1,data collected,53
2013/1/1,data settings,12
2014/1/1,data settings,0
2015/1/1,data settings,0
2016/1/1,data settings,0
2017/1/1,data settings,0
2018/1/1,data settings,0
2019/1/1,data settings,0
2020/1/1,data settings,0
2021/1/1,data settings,0
2022/1/1,data settings,0
2013/1/1,data sources,0
2014/1/1,data sources,0
2015/1/1,data sources,0
2016/1/1,data sources,26
2017/1/1,data sources,0
2018/1/1,data sources,0
2019/1/1,data sources,0
2020/1/1,data sources,0
2021/1/1,data sources,0
2022/1/1,data sources,0
2013/1/1,data using,0
2014/1/1,data using,0
2015/1/1,data using,27
2016/1/1,data using,0
2017/1/1,data using,21
2018/1/1,data using,0
2019/1/1,data using,0
2020/1/1,data using,0
2021/1/1,data using,0
2022/1/1,data using,0
2013/1/1,delta variants,0
2014/1/1,delta variants,0
2015/1/1,delta variants,0
2016/1/1,delta variants,0
2017/1/1,delta variants,0
2018/1/1,delta variants,0
2019/1/1,delta variants,0
2020/1/1,delta variants,0
2021/1/1,delta variants,0
2022/1/1,delta variants,48
2013/1/1,disease 2019,0
2014/1/1,disease 2019,0
2015/1/1,disease 2019,0
2016/1/1,disease 2019,0
2017/1/1,disease 2019,0
2018/1/1,disease 2019,0
2019/1/1,disease 2019,0
2020/1/1,disease 2019,81
2021/1/1,disease 2019,82
2022/1/1,disease 2019,0
2013/1/1,disease burden,0
2014/1/1,disease burden,0
2015/1/1,disease burden,0
2016/1/1,disease burden,0
2017/1/1,disease burden,22
2018/1/1,disease burden,0
2019/1/1,disease burden,0
2020/1/1,disease burden,0
2021/1/1,disease burden,0
2022/1/1,disease burden,0
2013/1/1,ebola outbreak,0
2014/1/1,ebola outbreak,0
2015/1/1,ebola outbreak,17
2016/1/1,ebola outbreak,0
2017/1/1,ebola outbreak,0
2018/1/1,ebola outbreak,0
2019/1/1,ebola outbreak,0
2020/1/1,ebola outbreak,0
2021/1/1,ebola outbreak,0
2022/1/1,ebola outbreak,0
2013/1/1,ebola virus,0
2014/1/1,ebola virus,0
2015/1/1,ebola virus,17
2016/1/1,ebola virus,0
2017/1/1,ebola virus,0
2018/1/1,ebola virus,0
2019/1/1,ebola virus,0
2020/1/1,ebola virus,0
2021/1/1,ebola virus,0
2022/1/1,ebola virus,0
2013/1/1,hong kong,0
2014/1/1,hong kong,15
2015/1/1,hong kong,0
2016/1/1,hong kong,0
2017/1/1,hong kong,0
2018/1/1,hong kong,0
2019/1/1,hong kong,0
2020/1/1,hong kong,0
2021/1/1,hong kong,0
2022/1/1,hong kong,0
2013/1/1,human population,15
2014/1/1,human population,0
2015/1/1,human population,0
2016/1/1,human population,0
2017/1/1,human population,0
2018/1/1,human population,0
2019/1/1,human population,0
2020/1/1,human population,0
2021/1/1,human population,0
2022/1/1,human population,0
2013/1/1,immunity response,0
2014/1/1,immunity response,18
2015/1/1,immunity response,16
2016/1/1,immunity response,0
2017/1/1,immunity response,19
2018/1/1,immunity response,27
2019/1/1,immunity response,0
2020/1/1,immunity response,0
2021/1/1,immunity response,0
2022/1/1,immunity response,0
2013/1/1,increased risk,0
2014/1/1,increased risk,0
2015/1/1,increased risk,0
2016/1/1,increased risk,0
2017/1/1,increased risk,0
2018/1/1,increased risk,23
2019/1/1,increased risk,0
2020/1/1,increased risk,0
2021/1/1,increased risk,0
2022/1/1,increased risk,0
2013/1/1,influenza seasonal,0
2014/1/1,influenza seasonal,0
2015/1/1,influenza seasonal,17
2016/1/1,influenza seasonal,0
2017/1/1,influenza seasonal,0
2018/1/1,influenza seasonal,24
2019/1/1,influenza seasonal,0
2020/1/1,influenza seasonal,0
2021/1/1,influenza seasonal,0
2022/1/1,influenza seasonal,0
2013/1/1,influenza vaccination,13
2014/1/1,influenza vaccination,22
2015/1/1,influenza vaccination,0
2016/1/1,influenza vaccination,27
2017/1/1,influenza vaccination,24
2018/1/1,influenza vaccination,33
2019/1/1,influenza vaccination,33
2020/1/1,influenza vaccination,0
2021/1/1,influenza vaccination,0
2022/1/1,influenza vaccination,0
2013/1/1,influenza viruses,20
2014/1/1,influenza viruses,0
2015/1/1,influenza viruses,20
2016/1/1,influenza viruses,30
2017/1/1,influenza viruses,20
2018/1/1,influenza viruses,29
2019/1/1,influenza viruses,0
2020/1/1,influenza viruses,0
2021/1/1,influenza viruses,0
2022/1/1,influenza viruses,0
2013/1/1,influenza viruses,12
2014/1/1,influenza viruses,0
2015/1/1,influenza viruses,0
2016/1/1,influenza viruses,0
2017/1/1,influenza viruses,0
2018/1/1,influenza viruses,0
2019/1/1,influenza viruses,0
2020/1/1,influenza viruses,0
2021/1/1,influenza viruses,0
2022/1/1,influenza viruses,0
2013/1/1,john wiley,0
2014/1/1,john wiley,0
2015/1/1,john wiley,0
2016/1/1,john wiley,0
2017/1/1,john wiley,0
2018/1/1,john wiley,29
2019/1/1,john wiley,31
2020/1/1,john wiley,0
2021/1/1,john wiley,0
2022/1/1,john wiley,0
2013/1/1,logistic regression,0
2014/1/1,logistic regression,17
2015/1/1,logistic regression,0
2016/1/1,logistic regression,0
2017/1/1,logistic regression,0
2018/1/1,logistic regression,27
2019/1/1,logistic regression,40
2020/1/1,logistic regression,0
2021/1/1,logistic regression,0
2022/1/1,logistic regression,63
2013/1/1,methods using,26
2014/1/1,methods using,27
2015/1/1,methods using,26
2016/1/1,methods using,29
2017/1/1,methods using,24
2018/1/1,methods using,56
2019/1/1,methods using,57
2020/1/1,methods using,86
2021/1/1,methods using,107
2022/1/1,methods using,81
2013/1/1,model fitness,0
2014/1/1,model fitness,0
2015/1/1,model fitness,16
2016/1/1,model fitness,0
2017/1/1,model fitness,0
2018/1/1,model fitness,0
2019/1/1,model fitness,0
2020/1/1,model fitness,0
2021/1/1,model fitness,0
2022/1/1,model fitness,0
2013/1/1,model using,18
2014/1/1,model using,25
2015/1/1,model using,26
2016/1/1,model using,42
2017/1/1,model using,30
2018/1/1,model using,57
2019/1/1,model using,49
2020/1/1,model using,76
2021/1/1,model using,86
2022/1/1,model using,68
2013/1/1,nonpharmaceutical interventions,0
2014/1/1,nonpharmaceutical interventions,0
2015/1/1,nonpharmaceutical interventions,0
2016/1/1,nonpharmaceutical interventions,0
2017/1/1,nonpharmaceutical interventions,0
2018/1/1,nonpharmaceutical interventions,0
2019/1/1,nonpharmaceutical interventions,0
