date,topic,count
1993/1/1,2019ncov,0
1994/1/1,2019ncov,0
1995/1/1,2019ncov,0
1996/1/1,2019ncov,0
1997/1/1,2019ncov,0
1998/1/1,2019ncov,0
1999/1/1,2019ncov,0
2000/1/1,2019ncov,0
2001/1/1,2019ncov,0
2002/1/1,2019ncov,0
2003/1/1,2019ncov,0
2004/1/1,2019ncov,0
2005/1/1,2019ncov,0
2006/1/1,2019ncov,0
2007/1/1,2019ncov,0
2008/1/1,2019ncov,4
2009/1/1,2019ncov,0
2010/1/1,2019ncov,0
2011/1/1,2019ncov,0
2012/1/1,2019ncov,0
2013/1/1,2019ncov,0
2014/1/1,2019ncov,0
2015/1/1,2019ncov,0
2016/1/1,2019ncov,0
2017/1/1,2019ncov,0
2018/1/1,2019ncov,0
2019/1/1,2019ncov,0
2020/1/1,2019ncov,0
2021/1/1,2019ncov,0
2022/1/1,2019ncov,0
1993/1/1,acut,3
1994/1/1,acut,3
1995/1/1,acut,2
1996/1/1,acut,0
1997/1/1,acut,0
1998/1/1,acut,0
1999/1/1,acut,0
2000/1/1,acut,0
2001/1/1,acut,0
2002/1/1,acut,0
2003/1/1,acut,0
2004/1/1,acut,3
2005/1/1,acut,0
2006/1/1,acut,4
2007/1/1,acut,0
2008/1/1,acut,0
2009/1/1,acut,0
2010/1/1,acut,0
2011/1/1,acut,0
2012/1/1,acut,4
2013/1/1,acut,0
2014/1/1,acut,0
2015/1/1,acut,0
2016/1/1,acut,0
2017/1/1,acut,0
2018/1/1,acut,17
2019/1/1,acut,0
2020/1/1,acut,22
2021/1/1,acut,31
2022/1/1,acut,16
1993/1/1,adult,0
1994/1/1,adult,0
1995/1/1,adult,0
1996/1/1,adult,0
1997/1/1,adult,0
1998/1/1,adult,0
1999/1/1,adult,0
2000/1/1,adult,0
2001/1/1,adult,0
2002/1/1,adult,0
2003/1/1,adult,0
2004/1/1,adult,0
2005/1/1,adult,0
2006/1/1,adult,0
2007/1/1,adult,0
2008/1/1,adult,0
2009/1/1,adult,0
2010/1/1,adult,0
2011/1/1,adult,0
2012/1/1,adult,0
2013/1/1,adult,4
2014/1/1,adult,0
2015/1/1,adult,0
2016/1/1,adult,0
2017/1/1,adult,0
2018/1/1,adult,0
2019/1/1,adult,0
2020/1/1,adult,0
2021/1/1,adult,0
2022/1/1,adult,0
1993/1/1,advanc,0
1994/1/1,advanc,0
1995/1/1,advanc,0
1996/1/1,advanc,0
1997/1/1,advanc,0
1998/1/1,advanc,0
1999/1/1,advanc,0
2000/1/1,advanc,0
2001/1/1,advanc,0
2002/1/1,advanc,0
2003/1/1,advanc,0
2004/1/1,advanc,0
2005/1/1,advanc,0
2006/1/1,advanc,0
2007/1/1,advanc,0
2008/1/1,advanc,4
2009/1/1,advanc,0
2010/1/1,advanc,0
2011/1/1,advanc,0
2012/1/1,advanc,0
2013/1/1,advanc,4
2014/1/1,advanc,0
2015/1/1,advanc,6
2016/1/1,advanc,0
2017/1/1,advanc,0
2018/1/1,advanc,0
2019/1/1,advanc,8
2020/1/1,advanc,0
2021/1/1,advanc,0
2022/1/1,advanc,0
1993/1/1,africa,0
1994/1/1,africa,0
1995/1/1,africa,0
1996/1/1,africa,0
1997/1/1,africa,0
1998/1/1,africa,0
1999/1/1,africa,0
2000/1/1,africa,0
2001/1/1,africa,0
2002/1/1,africa,0
2003/1/1,africa,0
2004/1/1,africa,0
2005/1/1,africa,0
2006/1/1,africa,0
2007/1/1,africa,0
2008/1/1,africa,0
2009/1/1,africa,0
2010/1/1,africa,0
2011/1/1,africa,0
2012/1/1,africa,0
2013/1/1,africa,4
2014/1/1,africa,0
2015/1/1,africa,0
2016/1/1,africa,0
2017/1/1,africa,0
2018/1/1,africa,0
2019/1/1,africa,0
2020/1/1,africa,0
2021/1/1,africa,0
2022/1/1,africa,0
1993/1/1,antibodi,0
1994/1/1,antibodi,0
1995/1/1,antibodi,0
1996/1/1,antibodi,0
1997/1/1,antibodi,0
1998/1/1,antibodi,0
1999/1/1,antibodi,0
2000/1/1,antibodi,0
2001/1/1,antibodi,0
2002/1/1,antibodi,0
2003/1/1,antibodi,0
2004/1/1,antibodi,0
2005/1/1,antibodi,0
2006/1/1,antibodi,0
2007/1/1,antibodi,0
