date,topic,count
2010/1/1,2020,10667
2011/1/1,2020,12783
2012/1/1,2020,14816
2013/1/1,2020,16920
2014/1/1,2020,18692
2015/1/1,2020,24569
2016/1/1,2020,25211
2017/1/1,2020,27348
2018/1/1,2020,34019
2019/1/1,2020,41177
2020/1/1,2020,68286
2021/1/1,2020,68799
2022/1/1,2020,54664
2010/1/1,administr,0
2011/1/1,administr,7366
2012/1/1,administr,0
2013/1/1,administr,9759
2014/1/1,administr,11176
2015/1/1,administr,0
2016/1/1,administr,0
2017/1/1,administr,0
2018/1/1,administr,19976
2019/1/1,administr,24299
2020/1/1,administr,40187
2021/1/1,administr,40554
2022/1/1,administr,31882
2010/1/1,affect,9435
2011/1/1,affect,11287
2012/1/1,affect,13159
2013/1/1,affect,14935
2014/1/1,affect,16643
2015/1/1,affect,21768
2016/1/1,affect,22484
2017/1/1,affect,24438
2018/1/1,affect,30174
2019/1/1,affect,36636
2020/1/1,affect,60773
2021/1/1,affect,61202
2022/1/1,affect,48497
2010/1/1,bacteri,10191
2011/1/1,bacteri,0
2012/1/1,bacteri,14246
2013/1/1,bacteri,0
2014/1/1,bacteri,0
2015/1/1,bacteri,23711
2016/1/1,bacteri,24390
2017/1/1,bacteri,26605
2018/1/1,bacteri,0
2019/1/1,bacteri,0
2020/1/1,bacteri,0
2021/1/1,bacteri,0
2022/1/1,bacteri,0
2010/1/1,black,8241
2011/1/1,black,0
2012/1/1,black,11633
2013/1/1,black,0
2014/1/1,black,0
2015/1/1,black,19032
2016/1/1,black,19876
2017/1/1,black,21597
2018/1/1,black,0
2019/1/1,black,0
2020/1/1,black,0
2021/1/1,black,0
2022/1/1,black,0
2010/1/1,child,0
2011/1/1,child,7696
2012/1/1,child,0
2013/1/1,child,10225
2014/1/1,child,11343
2015/1/1,child,0
2016/1/1,child,0
2017/1/1,child,0
2018/1/1,child,20460
2019/1/1,child,25052
2020/1/1,child,41607
2021/1/1,child,41801
2022/1/1,child,33186
2010/1/1,competit,0
2011/1/1,competit,6836
2012/1/1,competit,0
2013/1/1,competit,0
2014/1/1,competit,0
2015/1/1,competit,0
2016/1/1,competit,0
2017/1/1,competit,0
2018/1/1,competit,0
2019/1/1,competit,22168
2020/1/1,competit,0
2021/1/1,competit,37010
2022/1/1,competit,0
2010/1/1,demograph,8568
2011/1/1,demograph,0
2012/1/1,demograph,11913
2013/1/1,demograph,0
2014/1/1,demograph,0
2015/1/1,demograph,19800
2016/1/1,demograph,20398
2017/1/1,demograph,22196
2018/1/1,demograph,0
2019/1/1,demograph,0
2020/1/1,demograph,0
2021/1/1,demograph,0
2022/1/1,demograph,0
2010/1/1,diabet,8033
2011/1/1,diabet,0
2012/1/1,diabet,11248
2013/1/1,diabet,0
2014/1/1,diabet,0
2015/1/1,diabet,18737
2016/1/1,diabet,19304
2017/1/1,diabet,21074
2018/1/1,diabet,0
2019/1/1,diabet,0
2020/1/1,diabet,0
2021/1/1,diabet,0
2022/1/1,diabet,0
2010/1/1,differenti,8940
2011/1/1,differenti,0
2012/1/1,differenti,12491
2013/1/1,differenti,14181
2014/1/1,differenti,15812
2015/1/1,differenti,20652
2016/1/1,differenti,21153
2017/1/1,differenti,23021
2018/1/1,differenti,28622
2019/1/1,differenti,0
2020/1/1,differenti,57616
2021/1/1,differenti,0
2022/1/1,differenti,46013
2010/1/1,digit,6910
2011/1/1,digit,8261
2012/1/1,digit,9625
2013/1/1,digit,10916
2014/1/1,digit,12288
2015/1/1,digit,15998
2016/1/1,digit,16529
2017/1/1,digit,0
2018/1/1,digit,22220
2019/1/1,digit,26979
2020/1/1,digit,44682
2021/1/1,digit,44925
2022/1/1,digit,35723
2010/1/1,east,0
2011/1/1,east,7411
2012/1/1,east,0
2013/1/1,east,9822
2014/1/1,east,10998
2015/1/1,east,0
2016/1/1,east,0
2017/1/1,east,0
2018/1/1,east,19846
2019/1/1,east,24119
2020/1/1,east,40077
2021/1/1,east,40158
2022/1/1,east,32060
2010/1/1,explain,0
2011/1/1,explain,7885
2012/1/1,explain,0
2013/1/1,explain,10442
2014/1/1,explain,11648
2015/1/1,explain,0
2016/1/1,explain,0
2017/1/1,explain,0
2018/1/1,explain,21080
2019/1/1,explain,25644
2020/1/1,explain,42332
2021/1/1,explain,42740
2022/1/1,explain,33814
2010/1/1,facilit,0
2011/1/1,facilit,0
2012/1/1,facilit,0
2013/1/1,facilit,0
2014/1/1,facilit,0
2015/1/1,facilit,0
2016/1/1,facilit,0
2017/1/1,facilit,0
2018/1/1,facilit,0
2019/1/1,facilit,0
2020/1/1,facilit,0
2021/1/1,facilit,36596
2022/1/1,facilit,0
2010/1/1,field,0
2011/1/1,field,7268
2012/1/1,field,0
2013/1/1,field,9635
2014/1/1,field,10671
2015/1/1,field,0
2016/1/1,field,0
2017/1/1,field,0
2018/1/1,field,0
2019/1/1,field,23611
2020/1/1,field,39120
2021/1/1,field,39251
2022/1/1,field,31306
2010/1/1,flow,7502
2011/1/1,flow,9003
2012/1/1,flow,10520
2013/1/1,flow,11900
2014/1/1,flow,13342
2015/1/1,flow,17386
2016/1/1,flow,17899
2017/1/1,flow,19486
2018/1/1,flow,24101
2019/1/1,flow,29307
2020/1/1,flow,48529
2021/1/1,flow,48784
2022/1/1,flow,38704
2010/1/1,gut,0
2011/1/1,gut,0
2012/1/1,gut,0
2013/1/1,gut,10748
2014/1/1,gut,12051
2015/1/1,gut,0
2016/1/1,gut,0
2017/1/1,gut,0
2018/1/1,gut,21662
2019/1/1,gut,0
2020/1/1,gut,43599
2021/1/1,gut,0
2022/1/1,gut,34832
2010/1/1,histori,8195
2011/1/1,histori,0
2012/1/1,histori,11397
2013/1/1,histori,0
2014/1/1,histori,0
2015/1/1,histori,18808
2016/1/1,histori,19683
2017/1/1,histori,21319
2018/1/1,histori,0
2019/1/1,histori,0
2020/1/1,histori,0
2021/1/1,histori,0
2022/1/1,histori,0
2010/1/1,immunodefici,0
2011/1/1,immunodefici,6785
2012/1/1,immunodefici,0
2013/1/1,immunodefici,0
2014/1/1,immunodefici,0
2015/1/1,immunodefici,0
2016/1/1,immunodefici,0
2017/1/1,immunodefici,0
2018/1/1,immunodefici,0
2019/1/1,immunodefici,21931
2020/1/1,immunodefici,0
2021/1/1,immunodefici,0
2022/1/1,immunodefici,0
2010/1/1,interv,0
2011/1/1,interv,0
2012/1/1,interv,0
2013/1/1,interv,0
2014/1/1,interv,0
2015/1/1,interv,0
2016/1/1,interv,0
2017/1/1,interv,0
2018/1/1,interv,19575
2019/1/1,interv,0
2020/1/1,interv,0
2021/1/1,interv,0
2022/1/1,interv,0
2010/1/1,invas,11202
2011/1/1,invas,0
2012/1/1,invas,15591
2013/1/1,invas,0
2014/1/1,invas,0
2015/1/1,invas,25906
2016/1/1,invas,26651
2017/1/1,invas,28952
2018/1/1,invas,0
2019/1/1,invas,0
2020/1/1,invas,0
2021/1/1,invas,0
2022/1/1,invas,0
2010/1/1,kinet,9242
2011/1/1,kinet,0
2012/1/1,kinet,12997
2013/1/1,kinet,0
2014/1/1,kinet,0
2015/1/1,kinet,21208
2016/1/1,kinet,22296
2017/1/1,kinet,24214
2018/1/1,kinet,29900
2019/1/1,kinet,0
2020/1/1,kinet,0
2021/1/1,kinet,0
2022/1/1,kinet,0
2010/1/1,landscap,7063
2011/1/1,landscap,0
2012/1/1,landscap,9789
2013/1/1,landscap,11132
2014/1/1,landscap,12371
2015/1/1,landscap,16262
2016/1/1,landscap,16816
2017/1/1,landscap,18287
2018/1/1,landscap,22559
2019/1/1,landscap,0
2020/1/1,landscap,45405
2021/1/1,landscap,0
2022/1/1,landscap,36167
2010/1/1,mechanist,0
2011/1/1,mechanist,6884
2012/1/1,mechanist,0
2013/1/1,mechanist,9109
2014/1/1,mechanist,10302
2015/1/1,mechanist,0
2016/1/1,mechanist,0
2017/1/1,mechanist,0
2018/1/1,mechanist,0
2019/1/1,mechanist,22571
2020/1/1,mechanist,37387
2021/1/1,mechanist,37682
2022/1/1,mechanist,29725
2010/1/1,movement,0
2011/1/1,movement,8284
2012/1/1,movement,9638
2013/1/1,movement,10982
2014/1/1,movement,12208
2015/1/1,movement,15936
2016/1/1,movement,16288
2017/1/1,movement,0
2018/1/1,movement,22101
2019/1/1,movement,26746
2020/1/1,movement,44343
2021/1/1,movement,44621
2022/1/1,movement,35517
2010/1/1,non,8572
2011/1/1,non,0
2012/1/1,non,0
2013/1/1,non,0
2014/1/1,non,0
2015/1/1,non,0
2016/1/1,non,0
2017/1/1,non,22169
2018/1/1,non,0
2019/1/1,non,0
2020/1/1,non,0
2021/1/1,non,0
2022/1/1,non,0
2010/1/1,oper,0
2011/1/1,oper,6849
2012/1/1,oper,0
2013/1/1,oper,0
2014/1/1,oper,0
2015/1/1,oper,0
2016/1/1,oper,0
2017/1/1,oper,0
2018/1/1,oper,0
2019/1/1,oper,22235
2020/1/1,oper,0
2021/1/1,oper,37119
2022/1/1,oper,0
2010/1/1,posit,0
2011/1/1,posit,0
2012/1/1,posit,0
2013/1/1,posit,0
2014/1/1,posit,0
2015/1/1,posit,0
2016/1/1,posit,0
2017/1/1,posit,25151
2018/1/1,posit,0
2019/1/1,posit,0
2020/1/1,posit,0
2021/1/1,posit,0
2022/1/1,posit,0
2010/1/1,provid,8113
2011/1/1,provid,9714
2012/1/1,provid,11428
2013/1/1,provid,12839
2014/1/1,provid,14538
2015/1/1,provid,18786
2016/1/1,provid,19428
2017/1/1,provid,21164
2018/1/1,provid,26196
2019/1/1,provid,31756
2020/1/1,provid,52652
2021/1/1,provid,53053
2022/1/1,provid,41986
2010/1/1,respiratori syncyti,7467
2011/1/1,respiratori syncyti,8858
2012/1/1,respiratori syncyti,10422
2013/1/1,respiratori syncyti,11800
2014/1/1,respiratori syncyti,13369
2015/1/1,respiratori syncyti,17220
2016/1/1,respiratori syncyti,17736
2017/1/1,respiratori syncyti,19351
2018/1/1,respiratori syncyti,23942
2019/1/1,respiratori syncyti,29107
2020/1/1,respiratori syncyti,48179
2021/1/1,respiratori syncyti,48526
2022/1/1,respiratori syncyti,38506
2010/1/1,subsaharan,9295
