date,topic,count
2010/1/1,2019ncov,0
2011/1/1,2019ncov,0
2012/1/1,2019ncov,0
2013/1/1,2019ncov,0
2014/1/1,2019ncov,0
2015/1/1,2019ncov,0
2016/1/1,2019ncov,0
2017/1/1,2019ncov,0
2018/1/1,2019ncov,0
2019/1/1,2019ncov,0
2020/1/1,2019ncov,0
2021/1/1,2019ncov,0
2022/1/1,2019ncov,0
2010/1/1,acut,0
2011/1/1,acut,0
2012/1/1,acut,4
2013/1/1,acut,0
2014/1/1,acut,0
2015/1/1,acut,0
2016/1/1,acut,0
2017/1/1,acut,0
2018/1/1,acut,17
2019/1/1,acut,0
2020/1/1,acut,22
2021/1/1,acut,31
2022/1/1,acut,16
2010/1/1,adult,0
2011/1/1,adult,0
2012/1/1,adult,0
2013/1/1,adult,4
2014/1/1,adult,0
2015/1/1,adult,0
2016/1/1,adult,0
2017/1/1,adult,0
2018/1/1,adult,0
2019/1/1,adult,0
2020/1/1,adult,0
2021/1/1,adult,0
2022/1/1,adult,0
2010/1/1,advanc,0
2011/1/1,advanc,0
2012/1/1,advanc,0
2013/1/1,advanc,4
2014/1/1,advanc,0
2015/1/1,advanc,6
2016/1/1,advanc,0
2017/1/1,advanc,0
2018/1/1,advanc,0
2019/1/1,advanc,8
2020/1/1,advanc,0
2021/1/1,advanc,0
2022/1/1,advanc,0
2010/1/1,africa,0
2011/1/1,africa,0
2012/1/1,africa,0
2013/1/1,africa,4
2014/1/1,africa,0
2015/1/1,africa,0
2016/1/1,africa,0
2017/1/1,africa,0
2018/1/1,africa,0
2019/1/1,africa,0
2020/1/1,africa,0
2021/1/1,africa,0
2022/1/1,africa,0
2010/1/1,antibodi,0
2011/1/1,antibodi,0
2012/1/1,antibodi,0
2013/1/1,antibodi,0
2014/1/1,antibodi,0
2015/1/1,antibodi,6
2016/1/1,antibodi,0
2017/1/1,antibodi,0
2018/1/1,antibodi,0
2019/1/1,antibodi,0
2020/1/1,antibodi,0
2021/1/1,antibodi,0
2022/1/1,antibodi,0
2010/1/1,base,0
2011/1/1,base,4
2012/1/1,base,0
2013/1/1,base,0
2014/1/1,base,0
2015/1/1,base,10
2016/1/1,base,0
2017/1/1,base,0
2018/1/1,base,0
2019/1/1,base,8
2020/1/1,base,0
2021/1/1,base,0
2022/1/1,base,0
2010/1/1,behavior,0
2011/1/1,behavior,0
2012/1/1,behavior,4
2013/1/1,behavior,0
2014/1/1,behavior,0
2015/1/1,behavior,0
2016/1/1,behavior,8
2017/1/1,behavior,9
2018/1/1,behavior,0
2019/1/1,behavior,0
2020/1/1,behavior,0
2021/1/1,behavior,27
2022/1/1,behavior,13
2010/1/1,bia,0
2011/1/1,bia,0
2012/1/1,bia,0
2013/1/1,bia,0
2014/1/1,bia,0
2015/1/1,bia,0
